В каких местах,Осталось неисполненных к 1 января 1867 г.,"К тому по 1 января 1868 г. поступило: Требующих производства","К тому по 1 января 1868 г. поступило: Подлежащих к приобщению к делу или к сведению",ИТОГО,Из сего числа исполнено по 1 января 1868 г.,Затем к 1 января 1868 г. осталось неисполненных,Исшедших нумеров с 1 января 1867 по 1 января 1868 г.
Минусинской,83,5553,742,5636,5539,97,7009
Ачинской,55,5777,1460,5832,5688,144,6076
В ГРАДСКИХ ДУМАХ:,,,,,,,
Красноярской,35,2160,164,2195,2138,57,2283
Енисейской,9,1425,358,1434,1432,2,1879
В СИРОТСКИХ СУДАХ:,,,,,,,
Красноярском,4,414,124,418,409,9,677
Енисейском,8,234,102,242,241,1,278
В СЛОВЕСНЫХ СУДАХ:,,,,,,,
Канском,15,782,466,797,787,10,1177
Минусинском,43,1278,175,1291,1250,41,3125
В Ачинской городовой ратуше,46,1685,415,1731,1693,38,1737
В ОКРУЖНЫХ СУДАХ:,,,,,,,
Красноярском,22,2250,1174,2272,2267,5,4345
Енисейском,26,1603,1094,1629,1614,15,2990
Канском,4,964,2050,968,966,2,3212
Минусинском,23,1728,2001,1751,1719,32,4189
Ачинском,-,612,1354,612,612,-,1882
В ГОРОДОВЫХ СУДАХ:,,,,,,,
Красноярском,2,1031,799,1033,1029,4,2597
Енисейском,28,1822,841,1850,1823,27,2987
В ЗЕМСКИХ СУДАХ:,,,,,,,
Красноярском,79,12328,2674,12407,12343,64,18408
Енисейском,34,6794,3201,6828,6802,26,12243
Канском,18,9286,2580,9304,9280,24,16472
Минусинском,174,7000,1977,7174,6944,230,10084
Ачинском,12,8234,607,8246,8238,8,12466
В ОКРУЖНЫХ КАЗНАЧЕЙСТВАХ:,,,,,,,
Красноярском,21,285,15101,306,300,6,4314
Енисейском,18,1505,10,1523,1510,13,2645
Канском,15,2915,108,2930,2912,18,2503
Минусинском,3,5133,1202,5136,5123,13,2118
