Учреждение,Число заведений,Число учащихся муж.,Число учащихся жен.
Приходское – при Христорождественском женском монастыре,1,-,26
"в) Казачьи: Школы: Штатная полковая в Красноярске",1,10,-
"в) Казачьи: Школы: В станицах: Дрокинской",1,40,-
"в) Казачьи: Школы: В станицах: Мининской",1,43,-
"в) Казачьи: Школы: В станицах: Бугачевской",1,31,-
"в) Казачьи: Школы: В станицах: Торгашинской",1,34,-
"в) Казачьи: Школы: В станицах: Базайской",1,23,-
"в) Казачьи: Школы: В станицах: Белоярской",1,42,-
"в) Казачьи: Школы: В станицах: Соляноозерной",1,10,-
"в) Казачьи: Школы: В станицах: Таштыпской",1,41,-
"в) Казачьи: Школы: В станицах: Саянской",1,22,-
"в) Казачьи: Школы: В станицах: Каратузской",1,20,-
"в) Казачьи: Школы: В станицах: Суэтукской",1,10,-
"в) Казачьи: Школы: В деревнях: Еловой",1,14,-
"в) Казачьи: Школы: В деревнях: Монокской",1,16,-
"в) Казачьи: Школы: В деревнях: Восточной",1,7,-
"в) Казачьи: Школы: В форпостах: Арбатском",1,24,-
"в) Казачьи: Школы: В форпостах: Бузуновском",1,11,-
"в) Казачьи: Школы: В форпостах: Алтайском",1,9,-
"г) Красноярской жандармской команды школа",1,23,-
