В каких местах,Оставалось дел нерешенных к 1 января 1867 г.,Вновь поступило в течение года,Решено в течение года,"Осталось к 1 января 1867 г. нерешенных: За сим местом","Осталось к 1 января 1867 г. нерешенных: За другими местами","Осталось к 1 января 1867 г. нерешенных: Итого"
В Общем губернском управлении,992,4290,4360,3,919,922
– Губернском правлении,299,3213,3230,-,282,282
– Казенной палате,610,1206,1307,11,498,509
– Губернском суде,132,643,645,2,128,130
– Приказе общественного призрения,211,78,67,-,222,222
– Врачебной управе,15,176,172,2,17,19
У губернского прокурора,3,63,64,-,2,2
У ОКРУЖНЫХ СТРЯПЧИХ:,,,,,,
Красноярского,1,14,13,-,2,2
Енисейского,3,32,30,1,4,5
Канского,-,29,28,-,1,1
Минусинского,9,49,47,-,11,11
Ачинского,13,43,39,-,17,17
Губернских и окружных землемеров,156,79,112,2,121,123
В ОБЩИХ ОКРУЖНЫХ УПРАВЛЕНИЯХ:,,,,,,
Енисейском,218,167,176,-,209,209
Минусинском,50,298,102,6,240,246
В ГРАДСКИХ ПОЛИЦИЯХ И У ГОРОДНИЧИХ:,,,,,,
Красноярской,26,531,538,2,17,19
Енисейской,15,306,308,13,-,13
Канской,11,89,82,4,14,18
Минусинской,34,192,177,3,46,49
Ачинской,75,153,132,96,-,96
В ГРАДСКИХ ДУМАХ:,,,,,,
Красноярской,145,74,45,108,66,174
Енисейской,32,89,91,-,30,30
