РОД ФАБРИК И ЗАВОДОВ,Город Красноярск: Число фабрик и заводов,Город Красноярск: Сумма производительности,Город Красноярск: Число рабочих,Округ Красноярский: Число фабрик и заводов,Округ Красноярский: Сумма производительности,Округ Красноярский: Число рабочих,Город Енисейск: Число фабрик и заводов,Город Енисейск: Сумма производительности,Город Енисейск: Число рабочих,Округ Енисейский: Число фабрик и заводов,Округ Енисейский: Сумма производительности,Округ Енисейский: Число рабочих,Число фабрик и заводов
I. Обделывающие животные продукты,-,-,-,-,-,-,-,-,-,-,-,-,-
Салотопенные,2,16000,9,-,-,-,1,3575,2,-,-,-,1
Мыловаренные,2,5800,7,-,-,-,-,-,-,-,-,-,-
Кожевенные,6,9400,18,1,90,1,5,15900,16,-,-,-,1
Воскобелильные,1,14400,2,-,-,-,1,11520,3,-,-,-,-
II. Обделывающие растительные продукты,-,-,-,-,-,-,-,-,-,-,-,-,-
Лесопильные,-,-,-,-,-,-,1,-,-,-,-,-,-
Крупчатные,-,-,-,-,-,-,-,-,-,-,-,-,-
Стеклоделательные,-,-,-,1,2500,21,-,-,-,-,-,-,-
Маслобойные,1,200,1,1,450,3,-,-,-,-,-,-,-
Картофельно-паточные,-,-,-,1,700,7,-,-,-,-,-,-,-
Канатные,-,-,-,-,-,-,2,450,3,-,-,-,-
Винокуренные и водочные,2,28442,7,-,-,-,3,44129,5,1,99244,36,-
Пивоваренные,2,8500,11,-,-,-,1,-,-,-,-,-,-
III. Обделывающие ископаемые продукты,-,-,-,-,-,-,-,-,-,-,-,-,-
Железоделательные и чугунолитейные,-,-,-,-,-,-,-,-,-,-,-,-,-
Медноплавильные,-,-,-,-,-,-,-,-,-,-,-,-,-
Колокольные,1,1000,3,-,-,-,-,-,-,-,-,-,-
Кирпичные,7,7993,50,2,785,12,10,2840,26,-,-,-,3
Гончарные,-,-,-,-,-,-,-,-,-,-,-,-,-
Солеваренные,-,-,-,-,-,-,-,-,-,-,-,-,-
IV. Смешанных продуктов,-,-,-,-,-,-,-,-,-,-,-,-,-
Экипажные,2,7800,20,-,-,-,2,1000,4,-,-,-,-
Спичечные,1,15000,36,-,-,-,-,-,-,-,-,-,-
ИТОГО,27,114535,164,6,4525,44,26,79414,59,1,99244,36,5
