РОД ФАБРИК И ЗАВОДОВ,Город Канск: Сумма производительности,Город Канск: Число рабочих,Округ Канский: Число фабрик и заводов,Округ Канский: Сумма производительности,Округ Канский: Число рабочих,Город Ачинск: Число фабрик и заводов,Город Ачинск: Сумма производительности,Город Ачинск: Число рабочих,Округ Ачинский: Число фабрик и заводов,Округ Ачинский: Сумма производительности,Округ Ачинский: Число рабочих,Город Минусинск: Число фабрик и заводов,Город Минусинск: Сумма производительности,Город Минусинск: Число рабочих,Округ Минусинский: Число фабрик и заводов,Округ Минусинский: Сумма производительности,Округ Минусинский: Число рабочих,Всего по губернии: Число фабрик и заводов,Всего по губернии: Сумма производительности,Всего по губернии: Число рабочих
Салотопенные,5000,4,-,-,-,-,-,-,-,-,-,2,6020,10,-,-,-,6,30595,25
Мыловаренные,-,-,-,-,-,1,200,1,-,-,-,2,400,2,-,-,-,5,6400,10
Кожевенные,16000,12,1,720,2,1,6000,3,7,7317,22,5,5900,12,10,19400,18,37,80727,104
Воскобелильные,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,25920,5
II. Обделывающие растительные продукты,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Лесопильные,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
Крупчатные,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,95118,127,3,95118,148
Стеклоделательные,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,21150,-,2,23650,-
Маслобойные,-,-,-,-,-,1,300,1,3,398,3,4,2400,6,-,-,-,10,3748,14
Картофельно-паточные,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,700,7
Канатные,-,-,-,-,-,-,-,-,-,2,900,8,1,275,2,-,-,-,5,1625,13
Винокуренные и водочные,-,-,3,276624,84,2,7250,10,2,1084432,143,-,-,-,2,494956,105,15,2035077,390
Пивоваренные,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,8500,11
III. Обделывающие ископаемые продукты,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Железоделательные и чугунолитейные,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,336329,640,1,336329,640
Медноплавильные,-,-,-,-,-,-,-,-,1,15467,137,-,-,-,-,-,-,1,15467,137
Колокольные,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1000,3
Кирпичные,1450,6,-,-,-,2,450,8,3,190,3,3,525,5,-,-,-,30,14233,110
Гончарные,-,-,-,-,-,2,200,2,2,270,8,4,220,4,-,-,-,8,690,14
Солеваренные,-,-,1,35828,79,-,-,-,-,-,-,-,-,-,2,31200,64,3,67028,143
IV. Смешанных продуктов,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Экипажные,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,8800,24
Спичечные,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,15000,36
ИТОГО,22450,5,5,313172,165,9,14400,25,20,1108974,324,21,15740,41,19,998153,954,139,2770607,1834
