ГОРОДА И ОКРУГА,Число браков,Законно м.,Законно ж.,Законно об. п.
В г. Красноярске,120,228,214,442
» Енисейске,53,164,122,286
» Канске,18,82,77,159
» Ачинске,22,54,71,125
» Минусинске,59,139,147,286
» Туруханске,4,15,17,32
Итого в городах,276,682,648,1330
В Красноярском округе,372,1237,1270,2507
» Енисейском,294,969,956,1916
» Канском,345,1458,1443,2901
» Ачинском,549,2051,1877,3928
» Минусинском,754,2452,2458,4910
» Туруханском,42,69,80,149
Итого в округах,2356,8227,8084,16311
Всего в губернии,2632,8909,8732,17641
