Незаконно м.,Незаконно ж.,Незаконно об. п.,ВСЕГО м.,ВСЕГО ж.,ВСЕГО об. п.,Число умерших м.,Число умерших ж.,Число умерших об. п.,Прибыль или убыль
43,35,78,271,249,520,400,232,632,-112
50,36,86,214,158,372,148,132,280,+92
14,8,22,96,85,181,127,89,216,-35
6,6,12,60,77,137,51,60,111,+26
15,9,24,154,156,310,168,111,279,+31
1,-,1,16,17,33,5,3,8,+25
129,94,223,811,742,1553,899,627,1526,+27
158,142,300,1395,1412,2807,1160,998,2158,+649
159,132,291,1119,1088,2207,851,714,1565,+642
165,158,323,1623,1601,3224,1242,1082,2324,+900
141,150,291,2192,2027,4219,1599,1375,2974,+1245
385,372,757,2837,2830,5667,1899,1652,3551,+2116
33,32,65,102,112,214,175,144,319,-105
1041,986,2027,9268,9070,18338,6926,5965,12891,+5447
1170,1080,2250,10079,9812,19891,7825,6592,14417,+5474
