РОДЫ ПОДАТЕЙ,Следовало поступить Недоимок руб.,Следовало поступить Недоимок коп.,Следовало поступить Оклада руб.,Следовало поступить Оклада коп.,Вновь причислено Недоимок руб.,Вновь причислено Недоимок коп.,Вновь причислено Оклада руб.,Вновь причислено Оклада коп.
I. Подати и окладные платежи:,,,,,,,,
1. Оброчной подати и дополнительного к ней сбора,,,,,,,,
а) С государственных крестьян всех наименований,134812,84 3/4,260708,28,2703,16,3745,10 1/2
б) — поселенцев полного оклада,100106,7 1/2,21725,46,2463,32 3/4,2518,66 3/4
в) — — половинного оклада,57393,97 1/4,18473,10,3771,45 3/4,3633,28 1/2
г) — купцов и мещан живущих в селениях,135,85 1/4,60,28,—,—,2,74
д) оседлых инородцев,409,99 3/4,4419,62,—,1,5,48
е) — переселенцев,4429,68 1/2,1358,52,71,99 3/4,11,1
2. Подушной подати с сословий состоящих на общих окладах,,,,,,,,
а) С государственных крестьян всех наименований,45114,86 1/2,85634,10,823,50,1226,70
б) — бывших помещичьих крестьян,79,81 1/2,—,—,—,—,—,—
в) — крестьян вышедших из крепостной зависимости,4,50,9,—,—,—,—,—
г) — крестьян из казаков,21,50,164,25,—,—,—,—
д) — поселенцев полного оклада,30202,33 3/4,7136,10,809,65 1/4,826,88
е) — — половинного оклада,16183,44 1/4,6045,75,1299,8,1190,16
ж) — купцов и мещан живущих в селениях,52,65,19,80,—,—,—,90
з) — оседлых инородцев,163,80,1451,70,—,—,1,80
и) — мещан и цеховых,15337,68 3/4,1951,20,198,—,252,—
,404449,2 3/4,409157,16,12140,18 3/4,13414,72 1/4
3. Податей с сословий состоящих на особых окладах,,,,,,,,
С кочевых и бродячих инородцев,25,39,1415,54,—,—,164,12 1/2
ИТОГО,404474,41 3/4,410572,70,12140,18 1/2,13578,84 3/4
4. Подушного сбора взамен отмененной государственной земской повинности,,,,,,,,
а) С государственных крестьян всех наименований,25632,59,44190,91,537,54 1/2,1472,4 1/2
б) — бывших помещичьих крестьян,102,55 1/2,—,—,—,—,—,—
в) — поселенцев полного оклада,26760,89 3/4,3728,35,472,17 1/4,467,60
г) — купцов и мещан живущих в селениях,63,57 1/4,9,46,—,—,—,25
д) — оседлых инородцев,82,73 1/2,741,10,134,64,28,72
е) — кочевых инородцев,242,93,2793,40,—,—,—,—
з) — мещан,6399,91 1/4,3920,58,189,80 1/2,752,17
5. Налога с недвижимых имуществ в городах посадах и местечках,1208,—,—,—,16762,38 1/2,—,—
6. Общественного сбора,,,,,,,,
а) С государственных крестьян всех наименований,2661,70,5674,2,61,75,119,92 1/2
б) — прочих податн. лиц,23,84,506,46,—,—,—,18
7. Сбор на обеспечение народного продовольствия,,,,,,,,
а) С государственных крестьян всех наименований,1191,7,—,—,14,85,—,—
б) — прочих податн. лиц,1306,38,—,—,6,34,—,—
8. За прописку по ревизии душ и неподачу в срок ревизских сказок,1,80,—,—,—,—,—,—
9. Сбора на межевание земель,,,,,,,,
а) С государственных крестьян всех наименований,1792,41 1/2,2837,1,29,3/4,61,22 3/4
б) — прочих податн. лиц,12,96 1/2,253,23,—,—,—,9
10. Сбора на пожарные случаи,,,,,,,,
а) С государственных крестьян всех наименований,2227,53,3782,68,49,40,54,68
б) — прочих податн. лиц,200,70 1/2,104,92,4,16,—,46
11. Сбора экономической суммы,,,,,,,,
С поселенцев полного и половинного окладов,15249,13 1/4,3204,60,622,95 1/2,531,66
12. Добавочный казенный сбор с торговых свидетельств первой и второй гильдии,—,—,2573,50,—,—,3376,—
13. Земских сборов,,,,,,,,
На губернские повинности,,,,,,,,
а) С торговых свидетельств,—,—,1699,80,—,—,2232,20
б) — податных лиц,103972,1/4,116887,1,2177,96,12490,22 1/4
14. На частные повинности 42 1/4 коп. сбора,,,,,,,,
С податных лиц,8479,20,9983,80,14254,66,25337,23 1/4
,197611,93 1/4,202890,83,35317,63,46924,66 1/4
15. Однорублевого сбора с бывших помещичьих крестьян,3,50,—,—,—,—,—,—
ВСЕГО,602089,85,613463,53,47457,81 1/2,60501,51
II. Других взысканий,,,,,,,,
По ведомствам:,,,,,,,,
Министерства государственных имуществ,22498,30 3/4,—,—,5099,23 1/2,—,—
Министерства финансов:,,,,,,,,
Департамента государственного казначейства,255901,82 3/4,—,—,38036,44 1/4,—,—
« « неокладных сборов,61889,93 1/2,—,—,11001,32 1/2,—,—
« « горного,31418,57 3/4,—,—,7854,60,—,—
« « торговли и мануфактур,4325,30,—,—,1435,75,—,—
