Исключено Недоимок руб.,Исключено Недоимок коп.,Исключено Оклада руб.,Исключено Оклада коп.,Взыскано Недоимок руб.,Взыскано Недоимок коп.,Взыскано Оклада руб.,Взыскано Оклада коп.,Осталось к 1 янв 1876 Недоимок руб.,Осталось к 1 янв 1876 Недоимок коп.,Осталось к 1 янв 1876 Оклада руб.,Осталось к 1 янв 1876 Оклада коп.,Осталось к 1 янв 1876 ВСЕГО руб.,Осталось к 1 янв 1876 ВСЕГО коп.
22179,23 3/4,5254,65 3/4,24730,94 3/4,225836,58 1/4,90605,82 1/4,33362,14 1/2,123967,96 3/4
16279,8 1/4,3044,2 3/4,4596,83,5090,34,81693,39,16109,75 1/2,97803,14 1/2
6559,33,2771,49 1/2,6218,47 1/4,7177,31 3/4,48387,62 1/4,12157,57 1/4,60545,19 1/2
—,—,4,11,6,64 3/4,37,5,129,20 1/2,21,86,151,6 1/2
—,—,16,92 1/2,387,13 1/4,4344,36 1/4,22,87 1/2,63,81 1/4,86,68 3/4
125,65,441,34 3/4,430,33 1/4,327,41 1/4,3945,70,600,77,4546,47
7279,40 3/4,2105,50 1/4,8377,93 1/2,74102,15,30281,2 3/4,10653,14 3/4,40934,17 1/2
—,—,—,—,—,—,—,—,79,81 1/2,—,—,79,81 1/2
—,—,—,—,4,50,9,—,—,—,—,—,—,—
2,35 1/2,17,16,—,35 3/4,106,3 1/2,18,78 3/4,41,5 1/2,59,84 1/4
5258,46 1/2,1007,48,2984,27 1/2,2477,98 3/4,22769,25,4477,51 3/4,27246,76 3/4
1868,48 1/4,1056,60 3/4,2472,5 1/2,2485,57,13141,98 1/2,3693,73 1/4,16835,71 3/4
—,—,1,36,2,25,12,14,50,40,7,20,57,60
—,—,138,60,127,80,1259,55,36,—,55,35,91,35
308,80,100,80,3128,39 1/2,684,92 1/2,12098,49 1/4,1417,47 1/2,13515,96 3/4
59860,90 1/2,15960,7 1/4,53467,93 1/2,323950,42 1/4,303260,37 1/4*,82661,38 3/4,385921,76
—,—,—,—,25,39,1415,54,—,—,164,12 1/2,164,12 1/2
59860,90 1/2,15960,7 1/4,53493,32 1/2,325365,96 1/4,303260,37 1/4,82825,51 1/4,386085,88 1/2
5737,21 3/4,9357,15 1/4,3384,19,31809,66 3/4,17048,72 3/4,4496,13 1/2,21544,86 1/4
—,—,—,—,—,—,—,—,102,55 1/2,—,—,102,55 1/2
4222,43 1/4,1014,3,590,9,775,20 1/2,22420,54 3/4,2406,71 1/2,24827,26 1/4
—,—,2,92 1/2,—,58,4,19 1/2,62,99 1/4,2,59,65,58 1/4
—,—,165,48,177,85 3/4,577,72 3/4,39,51 1/4,26,61 3/4,66,13
—,—,718,51,14,50 1/2,2074,89,228,42 1/2,—,—,228,42 1/2
50,19,258,43,1783,47 3/4,2685,63 1/4,4756,5 1/2,1728,68 1/4,6484,73 3/4
4888,38 1/2,—,—,5848,60,—,—,7233,40,—,—,7233,40
548,7,290,78 1/2,401,58 1/2,4756,42,1773,79 1/2,746,74,2520,53 1/2
4,95,—,15,11,64,502,2,7,25,4,47,11,72
65,27 1/4,—,—,190,76,—,—,949,88 3/4,—,—,949,88 3/4
85,12 1/4,—,—,126,48 1/2,—,—,1101,11 1/4,—,—,1101,11 1/4
—,—,—,—,—,—,—,—,1,80,—,—,1,80
278,38 3/4,89,27 3/4,197,75,2247,75 1/2,1345,28 1/2,561,20 1/2,1906,49
2,—,—,9 1/2,5,81 1/2,251,16,5,15,2,6 1/2,7,21 1/2
377,13,83,76,196,99,3010,49,1702,81,743,11,2445,92
3,72,12,96,30,45 1/4,70,26,170,69 1/4,22,16,192,85 1/4
1721,72 1/2,431,48 1/4,1284,66 1/4,967,56 1/2,12865,70,2337,21 3/4,15202,91 3/4
—,—,2573,50,—,—,3376,—,—,—,—,—,—,—
—,—,1699,80,—,—,2232,20,—,—,—,—,—,—
13752,80 1/2,6452,60 1/2,15428,25,97623,72,76968,90 3/4,25300,90 3/4,102269,81 1/2
1488,22 1/4,502,57 1/2,1131,98 3/4,21032,50 1/2,20113,65,13785,95 1/4,33899,60 1/4
33225,63,23653,51 3/4,30805,67 1/4,173997,41 3/4,168898,26,52164,55 3/4,221062,81 3/4
—,—,—,—,—,—,—,—,3,50,—,—,3,50
93086,53 1/2,39613,59,84298,99 1/4,499363,38,472162,13 1/4,134990,7,607152,20 1/4
13605,1,—,—,2937,61 3/4,—,—,11054,91 1/2,—,—,11054,91 1/2
92662,3 3/4,—,—,3598,66,—,—,197677,57 1/4,—,—,197677,57 1/4
12098,39 3/4,—,—,54 3/8,15 3/4,—,—,55304,70 1/2,—,—,55304,70 1/2
2104,86 1/4,—,—,1527,30 1/2,—,—,35641,1,—,—,35641,1
95,—,—,—,1271,54 1/2,—,—,4394,50 1/2,—,—,4394,50 1/2*
