ГОРОДА И УЕЗДЫ,По оброчным податям руб.,По оброчным податям коп.,По подушн. податям руб.,По подушн. податям коп.,По податям других наименований руб.,По податям других наименований коп.,По общественным сборам руб.,По общественным сборам коп.
Город Красноярск,—,—,3751,49 1/2,—,—,—,—
» Енисейск,—,—,5674,43,—,—,—,—
» Канск,—,—,388,26,—,—,—,—
» Ачинск,—,—,8935,8 1/4,—,—,—,—
» Минусинск,—,—,1251,43 3/4,—,—,—,—
Уезд Красноярский,81883,16 1/2,37532,46 1/4,18842,58 3/4,867,6
» Енисейский,21714,41 3/4,8674,28 3/4,4990,*,*01,62
» Канский,60926,53,23282,72,96*8,—,370,6
» Ачинский,82992,18,35744,95,16535,25 1/2,680,2
» Минусинский,39584,23 3/4,27069,78 1/2,3*73,78,413,49 1/2
