Исключено Недоимок руб.,Исключено Недоимок коп.,Исключено Оклада руб.,Исключено Оклада коп.,Взыскано Недоимок руб.,Взыскано Недоимок коп.,Взыскано Оклада руб.,Взыскано Оклада коп.,Осталось Недоимок руб.,Осталось Недоимок коп.,Осталось Оклада руб.,Осталось Оклада коп.,Осталось ВСЕГО руб.,Осталось ВСЕГО коп.
—,—,—,—,—,—,—,—,1325,—,—,—,1325,—
135,24 1/2,—,—,812,1,—,—,394,29 1/4,—,—,394,29 1/4
30,36,—,—,70,84,—,—,56,96,—,—,56,96
1242,46,—,—,1898,19 1/2,—,—,193419,89,—,—,193419,89
121973,37 1/4,—,—,17604,33,—,—,499268,85,—,—,499268,85
13605,1,—,—,2937,61 3/4,—,—,11054,91 1/2,—,—,11054,91 1/2
92662,3 3/4,—,—,3598,66,—,—,197677,57 1/4,—,—,197677,57 1/4
12098,39 3/4,—,—,5488,15 3/4,—,—,53304,70 1/2,—,—,53304,70 1/2
2104,86 1/4,—,—,1527,35 1/2,—,—,35641,1,—,—,35641,1
95,—,—,—,1271,*4 1/2,—,—,4394,50 1/2,—,—,4394,50 1/2
135,24 1/2,—,—,812,*,—,—,394,29 1/4,—,—,394,29 1/4
30,36,—,—,70,84,—,—,56,96,—,—,56,96
1242,46,—,—,1898,19 1/2,—,—,93682,46 1/2,—,—,93682,46 1/2
**1973,37 1/4,—,—,17604,33,—,—,398206,42 1/2,—,—,398206,42 1/2
