По сбору на продовольствие руб.,По сбору на продовольствие коп.,По земским сборам руб.,По земским сборам коп.,По налогу с недвижимых имуществ руб.,По налогу с недвижимых имуществ коп.,По выкупным платежам руб.,По выкупным платежам коп.,По рассрочке недоимок руб.,По рассрочке недоимок коп.,По разным взысканиям руб.,По разным взысканиям коп.,ВСЕГО руб.,ВСЕГО коп.
—,—,6542,6 3/4,2787,45 1/4,—,—,—,—,—,—,13081,1 1/2
49,89 1/2,896,40 1/2,—,—,—,—,—,—,—,—,6620,73
—,—,33*,95,3218,21,—,—,—,—,—,—,3939,42
—,—,4277,42 1/2,1175,46,—,—,—,—,—,—,14387,96 3/4
—,—,2843,38,52,27 3/4,—,—,—,—,—,—,4147,9 1/2
392,64,21493,5 * 1/4,—,—,—,—,—,—,—,—,161011,42 3/4
254,73 1/2,3894,5 * 3/4,—,—,—,—,—,—,—,—,39730,24 3/4
53*,77,16292,47,—,—,—,—,—,—,—,—,111021,55
572,22,29963,* 7 1/2,—,—,—,—,—,—,—,—,166487,90
249,74,15733,81 1/4,—,—,—,—,—,—,—,—,86724,86
