РОД ПРЕСТУПЛЕНИЙ,Число преступлений,Число осужденных м.,Число осужденных ж.,Дворян потомственн. м.,Дворян потомственн. ж.,Дворян личных м.,Дворян личных ж.
ОТДЕЛЕНИЕ I.,,,,,,,
"Об отступлении от веры и постановлений церкви (ст. 200—234)",4,10,6,,,,
II.,,,,,,,
"О святотатстве (ст. 253—269)",2,3,,,,,
III.,,,,,,,
"О сопротивлении распоряжениям правительства и неповиновении установленным властям (ст. 295—312)",5,32,,,,,
"Об оскорблении присутственных мест и чиновников при отправлении должностей (ст. 313—328)",5,7,,1,,,
"О самовольном присвоении и составлении подложных указов или предписаний и других исходящих от правительства бумаг (ст. 329—342)",15,35,,,,2,
"О похищении бумаг или вещей из присутственных мест, сорвании печатей и уничтожении постановленных или приложенных по распоряжению правительства знаков (ст. 343—347)",2,11,,,,,
"О взломе тюрем, уходе и побеге находящихся под стражею или надзором (ст. 348—359)",1,3,,,,,
IV.,,,,,,,
"О преступлениях и проступках по службе государственной и общественной (ст. 371—549)",37,87,,,,16,
V.,,,,,,,
"О преступлениях и проступках против постановлений о повинностях государственных и земских (ст. 551—599)",1,1,,,,1,
"О нарушении уставов монетных (ст. 608—630)",40,91,7,,,1,
VI.,,,,,,,
"О нарушении постановлений по питейному сбору и акцизу (ст. 718—795)",22,27,5,,,,
VII.,,,,,,,
"О распространении вредных слухов (ст. 1196—1204)",1,1,,,,,
"О возбуждении к начатию или продолжению противузаконных исков и тяжеб о лживых доносах, лжесвидетельствах и ложных показаниях на повальных обысках (ст. 1205—1212)",3,5,,,,,
"О бродяжестве, укрывательстве беглых и нарушении постановлений о паспортах (ст. 1216—1272)",38,87,2,,,,
"О противузаконном выделывании оружия или пороха и нарушении правил осторожности (ст. 1295—1328)",1,1,,,,,
"О преступлениях против общественной нравственности (ст. 1336—1360) (улож. 1866 г. ст. 993—1003)",8,10,,,,1,
"О нарушении правил осторожности от пожаров (ст. 1428—1473)",29,51,4,3,,5,
"О нарушении уставов почтовых и телеграфических (ст. 1098—1149)",1,3,,,,,
VIII.,,,,,,,
"По преступлениям и проступкам против закона о состояниях (ст. 1405—1448)",1,1,,,,,
IX.,,,,,,,
"О смертоубийстве (ст. 1998—2020)",115,237,39,,,,
"О самоубийстве (ст. 2021—2025)",9,7,2,,,,
"О нанесении увечья, ран и других повреждений (ст. 2026—2047)",41,64,3,,,,
"О произвольном оставлении человека в опасности, о неоказании помощи погибающему (ст. 2069—2075)",3,1,1,,,,
"О преступлениях против чести и целомудрия женщин (ст. 2076—2085)",14,20,4,,,,
"О личных оскорблениях (ст. 2086—2094)",71,104,5,,,,
"О противузаконном задержании и заключении (ст. 2103—2108)",1,1,,,,,
"О нападении с насилием (ст. 2109—2112)",3,5,,,,,
"Об угрозах ст. 2113—2117 Улож. (ст. 1545—1548)",9,12,,,,,
X.,,,,,,,
"О преступлениях против союза брачного (ст. 2118—2156)",12,22,8,,,,
"О преступлении детей против родителей (ст. 2162—2165)",19,15,,,,,
XI.,,,,,,,
"О насильственном загладении чужим недвижимым имуществом и о истреблении граничных меж и знаков (ст. 2173—2184)",2,6,2,,,,
"О зажигательстве (ст. 2185—2195)",6,13,2,,,,
"О разбое (ст. 2208—2217)",2,21,,,,,
"О грабеже (ст. 2218—2224)",56,176,14,,,,
"О воровстве-краже (ст. 2225—2251)",271,428,64,1,,,
"О воровстве-мошенничестве (ст. 2252—2267)",9,28,5,,,,
"О присвоении вверенного чужого имущества движимого (ст. 2279)",4,12,6,1,,,
"О преступлениях и проступках по договорам и другим обязательствам (ст. 2278—2304)",,,,,,,
О происшествиях,20,40,3,,,,
ИТОГО,883,1678,182,6,,26,
