"В летние месяцы: Число пожаров","В летние месяцы: Число погоревших дворов","В летние месяцы: Сумма убытков","В осенние месяцы: Число пожаров","В осенние месяцы: Число погоревших дворов","В осенние месяцы: Сумма убытков","Всего в году: Число пожаров","Всего в году: Число погоревших дворов","Всего в году: Сумма убытков","Причина пожаров: От молнии","Причина пожаров: От дурного устройства печей и труб","Причина пожаров: От неосторожности","Причина пожаров: От поджога","Причина пожаров: От других причин"
1,1,300,1,2,150,3,4,700,—,2,1,—,—
1,1,233—75,12,14,799—50,25,45,21566—85,—,—,12,3,10
—,—,—,1,1,25,2,2,522,—,—,1,—,1
2,2,140—10,2,2,74,11,14,"13287 — *6",—,—,8,2,1
—,—,—,—,—,—,2,1,500,—,—,2,—,—
3,4,1032—45,4,5,514—75,9,11,2527—20,—,3,5,—,1
1,4,7550,—,—,—,1,4,7550,—,—,—,—,1
1,1,200,5,6,1062—15,16,18,2437—83,—,2,11,2,1
—,—,—,2,4,2590,5,7,2990,—,1,3,—,2
7,11,5146—35,13,5,2873—20,43,40,16098—25,—,2,15,5,20
16,24,14602—75,40,39,8088—60,117,146,68182—19,—,10,58,12,37
