НАЗВАНИЕ ГОРОДОВ И ОКРУГОВ,Случаев детоубийства новорожденных,Случаев смертоубийства,Случаев ИТОГО,Жертвы детоубийства м.,Жертвы детоубийства ж.,Жертвы смертоубийства м.,Жертвы смертоубийства ж.,Жертвы ИТОГО м.,Жертвы ИТОГО ж.,Самоубийцы м.,Самоубийцы ж.,Скоропостиж. от болезни м.,Скоропостиж. от болезни ж.,Скоропостиж. от пьянства м.,Скоропостиж. от пьянства ж.
В г. Красноярске,—,4,4,—,—,3,1,3,1,1,—,4,4,1,1
» округе оного,—,24,24,—,—,19,5,19,5,1,—,8,4,9,1
» Енисейске,—,1,1,—,—,1,—,1,—,1,—,5,—,—,1
» округе оного,—,7,7,—,—,6,1,6,1,2,1,9,—,6,—
» Канске,—,2,2,—,—,2,—,2,—,—,—,3,—,—,—
» округе оного,—,22,22,—,—,16,6,16,6,3,—,3,2,10,—
» Ачинске,—,1,1,—,—,1,—,1,—,2,—,—,—,—,—
» округе оного,1,13,14,—,1,12,1,12,2,3,—,11,4,7,—
» Минусинске,—,1,1,—,—,1,—,1,—,—,—,—,—,—,—
» округе оного,—,17,17,—,—,16,1,16,1,1,—,3,—,2,1
Всего в губернии,1,91,92,—,1,77,15,77,16,14,1,46,14,35,3
