От неизвестных причин м.,От неизвестных причин ж.,ИТОГО м.,ИТОГО ж.,Найденные мертвые тела м.,Найденные мертвые тела ж.,Убито громом м.,Убито громом ж.,Задавлено и упало с высот м.,Задавлено и упало с высот ж.,Сгорело и убито на пожарах м.,Сгорело и убито на пожарах ж.,Умерло от угара м.,Умерло от угара ж.,Замерзло м.,Замерзло ж.,Утонуло м.,Утонуло ж.,Укушено до смерти зверями м.,Укушено до смерти зверями ж.,Умерло от других случайностей м.,Умерло от других случайностей ж.,Всего умерло м.,Всего умерло ж.,Всего умерло от насилия и случайности м.,Всего умерло от насилия и случайности ж.
2,-,7,5,2,-,-,-,1,-,-,-,1,-,-,-,1,-,-,-,-,-,3,-,16,6
-,-,17,4,3,-,-,-,-,-,-,-,3,1,2,-,4,-,-,-,2,-,11,1,51,10
-,-,5,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,2,-,9,1
2,1,17,1,3,-,-,-,-,-,-,-,-,-,3,-,3,-,-,-,1,-,9,-,37,3
1,-,4,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,7,-
4,1,17,3,3,-,-,-,2,-,1,-,2,-,3,3,1,-,-,-,2,1,11,4,50,13
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-
11,4,29,8,3,-,-,-,1,-,1,-,4,1,3,-,4,3,-,-,3,-,16,4,63,14
1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-
8,4,13,5,5,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,36,6
29,10,110,27,20,-,-,-,7,-,3,-,10,2,11,3,14,3,-,-,9,1,54,9,275,53
