НАЗВАНИЕ УЧЕБНЫХ ЗАВЕДЕНИЙ,Число учебных заведений,Число учащихся М.,Число учащихся Ж.
Мужская классическая гимназия,1,201,—
Учительская семинария,1,53,—
Женская прогимназия,1,—,87
Уездныя и приходския училища городския с приготовительными классами для мужеского пола,3,288,—
Уездныя и приходския училища городския с приготовительными классами для обоего пола,1,29,3
Приют для обоего пола,1,3,97
Духовное училище,1,99,—
Народныя школы при волостных правлениях и сельския школы разных министерств и частных лиц для обоего пола,—,—,—
Щеголевское ремесленное училище,1,45,—
ИТОГО,10,718,187
