Название учебных заведений,В окружных городах: Число учебных заведений,В окружных городах: Число учащихся М.,В окружных городах: Число учащихся Ж.,В округах: Число учебных заведений,В округах: Число учащихся М.,В округах: Число учащихся Ж.,Всего в губернии: Число учебных заведений,Всего в губернии: Число учащихся М.,Всего в губернии: Число учащихся Ж.,Всего в губернии: Число учащихся Об. п.
Мужская классическая гимназия,—,—,—,—,—,—,1,201,—,201
Учительская семинария,—,—,—,—,—,—,1,53,—,53
Женская прогимназия,1,—,75,—,—,—,2,—,162,162
Уездныя и приходския училища городския с приготовительными классами для мужеского пола,6,400,—,—,—,—,9,688,—,688
Уездныя и приходския училища городския с приготовительными классами для обоего пола,—,—,—,—,—,—,1,29,3,32
Приют для обоего пола,—,—,—,—,—,—,1,3,97,100
Духовное училище,—,—,—,—,—,—,1,99,—,99
Народныя школы при волостных правлениях и сельския школы разных министерств и частных лиц для обоего пола,—,—,—,97,666,128,97,666,128,794
Щеголевское ремесленное училище,—,—,—,—,—,—,1,45,—,45
ИТОГО,7,400,75,97,666,128,114,1784,390,2174
