Название заводов по округам,"Перекурено в вино муки: ржаной, пшеничной, овсяной и солоду",% безводного спирта,В полугаре ведер 40%,Среднее число пудов употребленных в суточный затор,Среднее число получения вина в полугаре из суточного затора,Сколько суток в период действовал завод
Ачинского округа:,,,,,,
Сидоровский,246352,10262294 33,256557.36,692,720 66,178
Мариинский,Не действовал,Не действовал,Не действовал,Не действовал,Не действовал,Не действовал
Александровский,14729,582038 33,14550 96,134,141 27,103
Канского округа:,,,,,,
Ильинский,32832,1389082 69,34727 06,256 20,271 30,128
Ривенский,16810,628073 48,1570 83,205,191 48,82
Ивановский,16992,749559 57,18728 09 3/4,236,218 03,72
Минусинского:,,,,,,
Спасский,Не действовали,Не действовали,Не действовали,Не действовали,Не действовали,Не действовали
Владимирский,Не действовали,Не действовали,Не действовали,Не действовали,Не действовали,Не действовали
Казанский,37254,1620456 62,40511 42,443 10,482 27 3/4,84
Александровский,75487,3329129 42,83228 23,551,607 50 3/4,137
Енисейского:,,,,,,
Каменский,24610,992440 56,24811 01,214,215 74,115
ИТОГО,465126,19553075 00,488825.96 3/4,—,—,894
