в) По сословіямъ:,Въ городахъ: муж.,Въ городахъ: жен.,Въ уѣздахъ: муж.,Въ уѣздахъ: жен.
I. Дворянъ:,,,,
Потомственныхъ,334,284,249,225
Личныхъ,824,1076,130,139
II. Духовенства православнаго:,,,,
Монашествующаго,54,58,39,77
Бѣлаго,92,—,227,—
Другихъ исповѣданій,5,—,1,—
Церковно-служителей и семействъ духовенства,103,115,460,824
Воспитанниковъ духовнаго училища,299,73,—,—
III. Городскихъ сословій: почетныхъ гражданъ:,,,,
Потомственныхъ,96,104,43,34
Личныхъ,108,197,71,80
Купцовъ,105,487,116,111
Мѣщанъ,17126,17597,3134,2518
VI. Сельскихъ сословій:,,,,
Крестьянъ,5444,4706,203893,201649
V. Военныхъ:,,,,
Регулярныхъ войскъ,1918,—,39,—
Иррегулярныхъ,203,—,223,—
Находящихся въ продолжительномъ отпуску,1,—,109,—
Состоящихъ въ запасѣ арміи,1469,—,8884,—
"Отставныхъ нижнихъ чиновъ, солдатскихъ женъ, сыновей и дочерей",483,769,4245,7957
Нижнихъ чиновъ на казенномъ содержаніи,23,—,29,—
VI. Разночинцевъ,1333,1110,2155,2010
VII. Иностранныхъ подданныхъ,80,19,2,—
VIII. Инородцевъ,116,75,24571,22976
IX. Ссыльныхъ всѣхъ категорій,1747,1052,43065,9250
