"а) имѣвшихъ право на льготу:",,,,
"1) III разряда",-,-,-,-,7
"2) II """,-,-,-,-,3
"б) женатыхъ",-,-,-,-,325
"Изъ нихъ одиночекъ, семейство которыхъ состоитъ только изъ жены и дѣтей (цирк. Мин. Вн. Дѣлъ 30 мая 1874 г. № 32)",-,-,-,3
"в) имѣющихъ право на сокращенные сроки службы:",,,,
"1) по 1 пунк. 84 ст. уст.",-,-,-,-,-
"2) "" 2 """,-,-,-,-,9
"3) "" 3 """,-,-,-,-,49
"г) умѣющихъ читать и писать или только читать",-,-,-,-,275
"Итого",-,-,-,333
"д) зачисленныхъ по пріемѣ въ запасъ на основаніи 80 ст. уст.",-,-,-,-,4
"е) способныхъ къ службѣ:",,,,
"строевой",-,-,-,-,1018
"нестроевой",-,-,-,-,20
"ж) мѣрою роста:",,,,
"1) въ 2 арш. 2 1/2 вершка",-,-,-,-,5
"2) до 2 арш. 3 верш. включительно",-,-,-,-,30
"3) "" 2 "" 4 """,-,-,-,-,121
"4) "" 2 "" 5 """,-,-,-,-,233
"5) "" 2 "" 6 """,-,-,-,-,296
"6) "" 2 "" 7 """,-,-,-,-,240
"7) "" 2 "" 8 """,-,-,-,-,90
"8) "" 2 "" 9 """,-,-,-,-,21
"9) "" 2 "" 10 """,-,-,-,-,6
"з) по сословіямъ:",,,,
"1) лицъ, внесенныхъ въ ревизскія сказки, а равно приписанныхъ къ обществамъ послѣ ревизіи",-,-,-,-,1032
"2) лицъ, изъятыхъ отъ внесенія въ X народную перепись, а также вышедшихъ послѣ ревизіи изъ податнаго состоянія",-,-,-,-,10
"і) по происхожденію:",,,,
"1) русскихъ (великороссовъ, малороссіянъ и бѣлоруссовъ)",-,-,-,-,1026
"2) поляковъ",-,-,-,-,2
"3) литовцевъ, жмудяковъ и латышей",-,-,-,-,1
"4) эстовъ и прочихъ финскихъ племенъ",-,-,-,-,2
"5) нѣмцевъ",-,-,-,-,1
"6) евреевъ",-,-,-,-,6
