"Изъ неявившихся зачислено въ ополченіе 2 разряда и освобождено отъ службы",,,,3
"Итого",-,-,-,74
"Принято на службу на основаніи 180 и 181 ст. уст.:",,,,
"а) по дополнительному жеребью",-,-,-,20
"а) безъ жеребья",-,-,-,1
"Возвращено съ дѣйствительной службы по семейному положенію на основаніи ст. 56 уст.",-,-,-,8
"Привлечено къ отвѣтственности за нарушеніе законовъ и воинской повинности:",,,,
"а) по 384 ст. уст.",-,-,-,1
"б) “ 386 “ “",-,-,-,87
"Итого",-,-,-,88
"Опредѣленъ возрастъ по наружному виду, по 159 ст. уст.",-,-,-,411
"Изъ нихъ включено въ призывные списки",-,-,-,285
"Причислено на основаніи 138, 139 и 140 ст. уст. въ призывные участки",-,-,-,25
"Отчислено изъ призывныхъ участковъ на основаніи 138, 139 и 140 ст. уст.",-,-,-,10
"Выдано свидѣтельствъ о припискѣ къ призывнымъ участкамъ:",,,,
"а) лицамъ, означеннымъ въ 113 ст. уст.",-,-,-,52
"б) прочимъ лицамъ, обязаннымъ по ст. 115 уст. получить эти свидѣтельства",-,-,-,1
"Итого",-,-,-,53
"Выдано свидѣтельствъ о явкѣ къ исполненію воинской повинности на основ. 182 ст. устава:",,,,
"а) объ освобожденіи отъ службы навсегда",-,-,-,458
"б) о зачисленіи въ ратники ополченія 1-го разряда",-,-,-,1035
"в) “ “ “ “ 2-го “",-,-,-,1341
"г) временныхъ",-,-,-,293
"Итого",-,-,-,3027
"Поступило жалобъ въ уѣздныя и городскія воинскія присутствія (ст. 244 уст.)",,,,
"на неправильности въ призывныхъ спискахъ",-,-,-,59
"Изъ нихъ признано уважительными",-,-,-,25
"Поступило жалобъ въ губернское по воинской повинности присутствіе (ст. 228 уст.):",,,,
"а) по опредѣленію неспособными къ труду",-,-,-,3
"б) по назначенію льготъ",-,-,-,15
"в) по опредѣленію годности къ службѣ",-,-,-,9
"Итого",-,-,-,19
"Изъ нихъ признано уважительными:",,,,
"б) по назначенію льготъ",-,-,-,2
"в) по опредѣленію годности къ службѣ",-,-,-,4
"Итого",-,-,-,6
"Израсходовано по призыву, пріему на службу и на содержаніе губернскаго и пяти",,,,
