НАЗВАНІЕ АПТЕКЪ,Число рецептовъ и повтореній,Средняя стоимость рецепта руб.,Средняя стоимость рецепта коп.,Выручка по рецептамъ руб.,Выручка по рецептамъ коп.,Выручка по ручной продажѣ руб.,Выручка по ручной продажѣ коп.,Общій годовой оборотъ аптекъ руб.,Общій годовой оборотъ аптекъ коп.
"1) Смирновой и Зейдель",12280,—,"60,7",7464,18,9292,15,16756,33
"2) Общ. врач. Ен. губ.",17468,—,"56,8",9919,86,13068,13,22987,29
Енисейская,10755,—,50,5390,30,1698,—,7088,30
Ачинская,3703,—,"66,6",2469,12,3011,61,5480,73
Минусинская,3658,—,47,1719,59,6227,46,7947,5
Канская сельская,3966,—,"53,4",2111,84,745,52,2857,36
Абаканская,226,—,55,125,26,585,10,710,36
Рыбинская,739,—,"51,5",380,59,632,21,1012,80
Балахтинская,23,—,"48,7",11,11,324,76,335,87
Казачинская,338,—,"71,8",242,99,446,67,689,66
И т о г о,53156,—,"56,8",29834,84,36031,61,65866,45
