,"Къ 1 января 1899 г. состояло руб.","Къ 1 января 1899 г. состояло коп.","Въ приходѣ за 1899 г. руб.","Въ приходѣ за 1899 г. коп.","Въ расходѣ за 1899 г. руб.","Въ расходѣ за 1899 г. коп.","Къ 1 января 1900 г. руб.","Къ 1 января 1900 г. коп."
Капиталъ 1-го разряда,,,,,,,,
Принадлежащій собственно бывшему приказу общественнаго призрѣнія,118413,46 3/4,88852,68,87336,15 1/2,119929,99 1/4
На предназначенное употребленіе:,,,,,,,,
Капиталъ 2-го разряда,,,,,,,,
"а) строительный на постройку больницъ вѣдомства общественнаго призрѣнія",207856,17,111287,1 1/2,205504,68,113638,50 1/2
"б) пожертвованный инородцами на уничтоженіе сифилиса въ Ачинскомъ и Минусинскомъ уѣздахъ",3731,81,200,-,201,46,3730,35
"в) кружечный сборъ въ пользу богоугодныхъ заведеній",1337,27 1/4,434,74,402,93,1369,8 1/4
Капиталъ 3-го разряда,,,,,,,,
Апелляціонный,481,9 1/2,567,56,457,20,591,45 1/2
Капиталъ 4-го разряда,,,,,,,,
а) Молотилина,588,70,217,10,201,46,604,34
"б) пожертвованный на сооруженіе церкви при Красноярскихъ богоугодныхъ заведеніяхъ",1929,89,655,10,604,39,1980,60
И т о г о,334338,40 1/2,202214,19 1/2,294708,27 1/2,241844,32 1/2
