"НАЗВАНІЕ УЧАСТКА И ВОЛОСТЕЙ.","На какое число душъ","До 1899 г. Семей.","До 1899 г. Душъ Мужескаго.","До 1899 г. Душъ Женскаго.","прибывшихъ Всего","прибывшихъ Съ разрѣшенія.","прибывшихъ Самовольно.","Душъ Мужескаго отчет. год","Душъ Женскаго отчет. год","Всего до 1900 г. Семей.","Всего до 1900 г. Душъ Мужескаго.","Всего до 1900 г. Душъ Женскаго.","Ссуды На домоустройство Семей","Ссуды На домоустройство Сумма Руб.","Ссуды На продовольствіе Семей","Ссуды На продовольствіе Сумма Руб.","Ссуды На посѣвъ Семей","Ссуды На посѣвъ Сумма Руб.","Зачислено за ходоками.","Свободныхъ долей."
"По 1-му участку. Новоселовская вол.",1098,-,82,-,-,-,-,26,-,-,108,-,-,-,-,-,-,-,361,531
"По 2-му участку волости: Абаканская","{ не","пок","аза","но.",205,-,-,760,"{ и",-,205,"{ и",-,-,-,-,-,-,-,-
"Идринская",-,-,-,-,70,-,-,196,"{ е",-,70,"{ и",-,-,-,-,-,-,-,-
"По 3-му участку волости: Тесинская","{ не","пок","аза","но.",84,-,-,315,"{ и",-,84,"{ и",-,-,-,-,-,-,-,-
"Курагинская",-,-,-,-,37,-,-,145,"{ е",-,37,"{ и",-,-,-,-,-,-,-,-
"По 4-му участку волости: Ермаковская",1254,-,958,-,-,-,-,281,"{ и",-,1239,"{ и",-,-,-,-,-,-,298,4
"Сагайская",1218,-,779,-,-,-,-,141,"{ е",-,920,"{ и",-,-,-,-,-,-,333,106
"По 5-му участку волости: Бейская",50,22,50,51,-,-,-,-,-,22,50,51,-,-,-,-,-,-,-,-
"Причислено къ обществамъ крестьянъ старожиловъ по Бейской волости",-,22,66,50,20,11,9,10,7,42,115,100,2,60,-,-,7,84,-,-
"Тоже по Шушенской волости",-,124,402,373,85,78,9,293,304,216,695,677,31,890,4,50,-,-,-,-
