"НАЗВАНІЕ УЧАСТКА И ВОЛОСТЕЙ.","На какое число душъ","До 1899 г. Семей","До 1899 г. Муж.","До 1899 г. Жен.","прибывшихъ Всего","прибывшихъ Съ разрѣш.","прибывшихъ Самов.","Душъ отчет. год Муж.","Душъ отчет. год Жен.","Всего до 1900 г. Семей","Всего до 1900 г. Муж.","Всего до 1900 г. Жен.","На домоустр. Семей","На домоустр. Сумма Р.","На домоустр. Сумма К.","На продов. Семей","На продов. Сумма Р.","На продов. Сумма К.","На посѣвъ Семей","На посѣвъ Сумма Р.","На посѣвъ Сумма К.","Зачислено за ходоками","Свободныхъ долей"
"По 1-му участку. Рыбинская",10828,1573,5080,4167,355,316,39,1783,1639,1928,6706,6539,447,19945,-,1154,40964,24,1381,41032,90,2731,311
"По 2-му участку волости: Ирбейская",3940,405,1141,1031,232,232,-,697,636,637,1838,1667,181,5112,20,1,14,-,108,2311,40,5106,486
"Амонашевская",2870,192,551,504,143,132,11,428,323,234,778,603,85,2106,80,4,67,25,93,1185,-,1881,-
"Уринская",2403,579,1668,1582,79,69,10,231,207,658,1909,1789,54,863,-,2,29,40,57,829,20,384,-
"По 3-му участку волости: Анцирская",1597,13,51,43,145,145,-,463,435,178,514,478,142,5552,-,118,1450,90,130,2879,10,978,105
"Танская",2667,20,63,68,40,30,10,131,101,60,194,169,47,2149,-,48,678,60,50,710,80,2207,267
"По 4-му участку. Усть-янская волость",7498,83,387,347,327,327,-,1171,934,408,1560,1284,397,17143,-,330,5657,25,333,6478,45,5491,402
"По 5-му участку волости: Тасѣевская",2482,2,8,4,46,46,-,193,168,48,201,170,45,1889,90,43,459,20,41,650,-,583,1699
"Рождественская",854,1,4,2,35,35,-,132,107,36,138,109,32,1190,-,31,352,-,27,463,50,572,146
"Всего по уѣзду",34433,2868,8963,8528,1402,1332,70,5249,4548,4183,13848,12808,1430,51920,90,1731,49672,84,2280,56400,35,18993,3476
