"№ порядка","Перечень производимыхъ работъ и наименованіе участковъ и угодій, въ которыхъ работы производились.","Удобной. десят.","Неудобной. десят.","Всего. десят.","На какое число будуть нарѣзаны участки.","Общія количества измѣренныхъ земельныхъ угодій Всего десят.","ПРИМѢЧАНІЕ"
"","Въ 1899 году Енисейская партія производила инструментальныя работы по образованію переселенческихъ участковъ въ таежныхъ районахъ: Улуйскъ-Кемчугскомъ, Мало-Кемчугскомъ, Аргѣ, Убей-Сисимскомъ, Средне-Манскомъ и Ойскомъ.","","","","","",""
"I","Площадь обслѣдованнаго Улуйско-Кемчугскаго района оказалась","—","—","—","—","414830",""
"","Кромѣ того, обслѣдована 20-ти верстная полоса этого района, прилегающая къ линіи желѣзной дороги, площадью","—","—","—","—","34320",""
"","и фактическое землепользованіе прилежащихъ къ району селеній площадью въ","—","—","—","—","59194",""
"","Подъ переселенческіе участки въ Улуйско-Кемчугскомъ районѣ намѣчена площадь въ","—","—","—","—","49400",""
"","и подъ вольную колонизацію","—","—","—","—","154460",""
"","Подробно сняты и запроектированы въ Улуйско-Кемчугскомъ районѣ слѣдующіе участки:","","","","","",""
"1","Большой Катухъ переселенческой площадью","4027,5","197,75","4225,25","260","—",""
"2","Малый Катухъ переселенческой площадью","2111,0","239,0","2350,0","—","—",""
"3","Ольховый переселенческой площадью","4447,12","282,88","4730,0","288","—",""
"II","Въ Кемчугскомъ районѣ кромѣ отграниченія лѣсныхъ дачъ подробно сняты, запроектированы и разсмотрѣны во временной комиссіи слѣдующіе участки:","","","","","",""
"1","Терехтюль переселенческій площадью","7888,34","1153,45","9036,79","517","—","Разсмотрѣніе этого участка комиссіей отложено, вслѣдствіе неполноты свѣдѣній, представленныхъ производителю работъ проектировавшимъ участокъ."
"2","Медвѣдка — переселенческій площадью","3790,94","1028,15","4819,09","244","—","Участокъ Медвѣдка временной комиссіей одобренъ."
"3","Близневка — переселенческій площадью","3450,35","614,65","4065,00","222","—","Участокъ Близневка временной комиссіей одобренъ съ протестомъ крестьянскаго начальника."
"III","Въ Аргѣ (Чулымская лѣсная дача) подробно сняты и запроектированы слѣдующіе участки:","","","","","",""
"1","Гарь — переселенческій площадью","2421,91","215,79","2637,7","153","—",""
"2","Заворки — переселенческій площадью","3196,07","548,03","3744,10","205","—",""
"3","Осиновая Гора — переселенческій площадью","2606,84","738,49","3345,84","165","—",""
"4","Студеный — переселенческій площадью","3061,56","682,14","3743,37","196","—",""
"5","Горѣлка — переселенческій площадью","1409,13","100,02","1509,15","90","—",""
"6","Голая сопка — запасный площадью","2091,69","307,71","2399,4","—","—",""
"7","Заулуйскій — запасный площадью","1209,29","262,01","1471,30","—","—",""
"IV","Въ Убей-Сисимскомъ таежномъ районѣ, кромѣ отграниченія лѣсныхъ дачъ, подробно сняты и запроектированы слѣдующіе участки:","","","","","",""
"1","Малый Коржуль — переселенческій площадью","2850,05","224,75","3075,0","182","—",""
"2","Вопиловскій — переселенческій площадью","2151,73","266,27","2418,0","135","—",""
"3","Сидориха — переселенческій площадью","2008,5","61,5","2070,0","125","—",""
"4","Шадринскій — переселенческій площадью","3579,75","85,25","3665,0","230","—",""
"5","Убей Татарскій переселенческій площадью","3542,0","173,0","3715,0","228","—",""
"6","Большой Коржуль — запасный площадью","893,5","94,5","988,0","—","—",""
"7","Четвертый — запасный площадью","1206,74","107,26","1314,0","—","—",""
"8","Междугранокъ — запасный площадью","1207,0","88,0","1295,0","—","—",""
"V","Въ Средне-Манскомъ таежномъ районѣ, кромѣ отграниченія лѣсныхъ дачъ, подробно сняты и одобрены временной комиссіей слѣдующіе 14 участковъ.","","","","","",""
