13,"Шегашеть",—,—,"8400,0",507,—,
14,"Лѣшаго Забока — запасн. общей площадью",—,—,"2407,00",—,—,
15,"Черчетское Болото",—,—,"5078,26",—,—,
VII,"На устьѣ рѣки Кана подробно сняты и одобрены временной комиссіей слѣдующіе участки:",,,,,,,
1,"Устъ-Канъ — переселенческій площадью","4509,3","603,9","5113,2",292,—,
2,"Поливной — переселенческій площадью","876,25","44,25","920,5",58,—,"Съ ходатайствомъ передъ г. Иркутскимъ генералъ-губернаторомъ о присоединеніи къ участку Кану."
VIII,"(По рч. Кепи (что въ Алымѣ) отграниченъ участокъ:",,,,,,,
IX,"Черепановскій — общей площадью",—,—,"349,6",—,—,
,"Кромѣ инструментальныхъ работъ были составлены, на основаніи опроса и осмотра, карты трехъ районовъ для цѣлей выясненія пригодности ихъ для заселенія, а именно: рекогносцировочная карта части Зачулымской тайги, обнаружившей до —",—,—,—,—,50000,
,"Пригодныхъ подъ переселенческіе участки.",,,,,,,
X,"Составлена по опросу карта Енисей Ангарской тайги, площадью около",—,—,—,—,827800,
,"Обнаружена площадь, пригодная подъ участки до",—,—,"1740,00",—,—,
XI,"Рекогносцирована юго-восточная часть Усинскаго округа площадью...",—,—,—,—,412500,
,"При чемъ выяснилось, что свободныя отъ пользованія и удобныя земли лежать въ предѣлахъ, принадлежащихъ Китайскому правительству (такъ что образованіе тамъ участковъ производиться не будетъ).",,,,,,,
XII,"Сверхъ выше перечисленныхъ работъ было распланировано 19 селеній",—,—,—,—,—,
,"На переселенческихъ участкахъ Ачинскаго, Канскаго, Минусинскаго и Красноярскаго уѣздовъ при чемъ отведено дворовыхъ мѣстъ 1242.",,,,,,,
XIII,"Наконецъ, для цѣлей развитія пчеловодства и использованія силы рѣкъ были удовлетворены въ районахъ образованія переселенческихъ участкахъ ходатайства крестьянъ по отводу 6 пасѣкъ и 5 мельницъ.",—,—,—,—,—,
