Наименованіе фабрикъ и заводовъ,Городъ Красноярскъ (Число фабрикъ и заводовъ),Городъ Красноярскъ (Сумма производства),Городъ Красноярскъ (Число рабочихъ),Уѣздъ Красноярскій (Число фабрикъ и заводовъ),Уѣздъ Красноярскій (Сумма производства),Уѣздъ Красноярскій (Число рабочихъ),Городъ Енисейскъ (Число фабрикъ и заводовъ),Городъ Енисейскъ (Сумма производства),Городъ Енисейскъ (Число рабочихъ),Уѣздъ Енисейскій (Число фабрикъ и заводовъ),Уѣздъ Енисейскій (Сумма производства),Уѣздъ Енисейскій (Число рабочихъ),Городъ Канскъ (Число фабрикъ и заводовъ),Городъ Канскъ (Сумма производства),Городъ Канскъ (Число рабочихъ)
I. ОБДѢЛЫВАЮЩІЕ ЖИВОТНЫЕ ПРОДУКТЫ:,,,,,,,,,,,,,,,
"Салотопленные, свѣчные и мыловаренные",4,18902,16,-,-,-,2,3100,6,-,-,-,-,-,4
Кожевенные,8,10100,19,5,288,9,4,21000,24,3,518,*,*,*,22
Воскобѣлильные,1,8000,3,-,-,-,1,2400,7,-,-,-,*,*,-
II. ОБДѢЛЫВАЮЩІЕ РАСТИТЕЛЬНЫЕ ПРОДУКТЫ:,,,,,,,,,,,,,,,
Крупчаточные,-,-,-,-,-,-,-,-,-,-,-,-,*,-,-
Маслобойные,-,-,-,-,-,-,2,2100,7,1,*,*,*,7,2
Канатные и веревочные,-,-,-,-,-,-,1,300,3,-,-,-,*,-,-
Винокуренные,-,-,-,1,258343-93 1/2,50,1,16000,20,1,347*,*,*,-,-
Водочные заводы,-,-,-,-,-,-,1,12270,13,-,-,-,*,-,-
Пиво-медоваренные и квасоварен.,3,61500,32,-,-,-,1,8170,10,-,-,-,*,-,-
Паточные,-,-,-,-,-,-,-,-,-,-,-,-,*,-,-
Свеклосахарные,-,-,-,-,-,-,-,-,-,-,-,-,*,-,-
III. ОБДѢЛЫВАЮЩІЕ ИСКОПАЕМЫЕ ПРОДУКТЫ:,,,,,,,,,,,,,,,
"Чугунно-литейные, желѣзо-дѣлательные, слесарные и лѣсопильные",4,204000,95,-,-,-,-,-,-,-,-,-,*,-,-
Стеклодѣлательные,-,-,-,1,66727-21,42,-,-,-,-,-,-,*,-,-
Фаянсовые,-,-,-,1,60,3,-,-,-,-,-,-,*,-,-
Колокольные,1,800,2,-,-,-,-,-,-,-,-,-,*,-,-
Кирпичные,12,3200,120,-,-,-,18,7120,25,2,60*,*,*,*,40
Гончарные,-,-,-,-,-,-,-,-,-,29,90*,*,*,*,5
Солеваренные,-,-,-,-,-,-,-,-,-,1,90*,*,*,*,-
Смольные и скипидарные,-,-,-,-,-,-,-,-,-,-,-,-,*,-,-
IV. СМѢШАННЫХЪ ПРОДУКТОВЪ:,,,,,,,,,,,,,,,
Экипажные и кузнечные,22,9000,66,-,-,-,-,-,-,-,-,-,*,-,-
И т о г о,55,315502,353,8,325959-14 1/2,104,31,72660,115,37,452*,*,*,*87,73
