Наименованіе фабрикъ и заводовъ,Уѣздъ Канскій (Число фабрикъ и заводовъ),Уѣздъ Канскій (Сумма производства),Уѣздъ Канскій (Число рабочихъ),Городъ Ачинскъ (Число фабрикъ и заводовъ),Городъ Ачинскъ (Сумма производства),Городъ Ачинскъ (Число рабочихъ),Уѣздъ Ачинскій (Число фабрикъ и заводовъ),Уѣздъ Ачинскій (Сумма производства),Уѣздъ Ачинскій (Число рабочихъ),Городъ Минусинскъ (Число фабрикъ и заводовъ),Городъ Минусинскъ (Сумма производства),Городъ Минусинскъ (Число рабочихъ),Уѣздъ Минусинскій (Число фабрикъ и заводовъ),Уѣздъ Минусинскій (Сумма производства),Уѣздъ Минусинскій (Число рабочихъ),Всего въ губерніи (Число фабрикъ и заводовъ),Всего въ губерніи (Сумма производства),Всего въ губерніи (Число рабочихъ)
I. ОБДѢЛЫВАЮЩІЕ ЖИВОТНЫЕ ПРОДУКТЫ:,,,,,,,,,,,,,,,,,,
"Салотопленные, свѣчные и мыловаренные",-,-,-,1,1250,2,1,1290,2,6,50000,16,8,1505,10,24,76797,56
Кожевенные,7,2175,8,4,20500,20,36,26435,54,8,30000,50,67,17201,110,147,138814,319
Воскобѣлильные,-,-,-,-,-,-,-,-,-,1,500,2,-,-,-,3,10900,12
II. ОБДѢЛЫВАЮЩІЕ РАСТИТЕЛЬНЫЕ ПРОДУКТЫ:,,,,,,,,,,,,,,,,,,
Крупчаточные,-,-,-,-,-,-,-,-,-,-,-,-,1,13481,15,1,13481,15
Маслобойные,2,13750,2,-,-,-,24,4075,39,4,2000,8,76,9168,110,110,17502-50,169
Канатные и веревочные,1 (1 не дѣйств.),40663,40,4,1400,12,5,8500,8,-,-,-,15,3880,30,"26, 1 не дѣйство",54945,"93 вал."
Винокуренные,1,42666,20,-,-,-,2,446380,86,-,-,-,3,362326,90,9,1160634-93 1/2,286
Водочные заводы,-,-,-,-,-,-,-,-,-,-,15000,-,-,-,-,1,12700,13
Пиво-медоваренные и квасоварен.,-,-,-,1,10000,3,-,-,-,1,-,5,-,-,-,6,94670,50
Паточные,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Свеклосахарные,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
III. ОБДѢЛЫВАЮЩІЕ ИСКОПАЕМЫЕ ПРОДУКТЫ:,,,,,,,,,,,,,,,,,,
"Чугунно-литейные, желѣзо-дѣлательные, слесарные и лѣсопильные",-,-,-,-,-,-,-,-,-,-,-,-,1,80000,300,5,284000,395
Стеклодѣлательные,-,-,-,-,-,-,-,-,-,-,-,-,1,не дѣйствов.,-,"1, 1 не дѣйство",66727-21,"42 вал."
Фаянсовые,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,600,3
Колокольные,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,800,2
Кирпичные,3,41250,3,15,4000,25,14,2528,24,12,8000,30,9,2020,18,95,28640-50,287
Гончарные,2,325,2,2,500,2,6,300,6,10,1000,10,21,2500,23,73,5955,100
Солеваренные,-,-,-,-,-,-,-,-,-,-,-,-,4,46052,85,5,55052,105
Смольные и скипидарные,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IV. СМѢШАННЫХЪ ПРОДУКТОВЪ:,,,,,,,,,,,,,,,,,,
Экипажные и кузнечные,-,-,-,-,-,-,-,-,-,20,18000,55,85,4570,90,127,31570,211
И т о г о,16,86521 (1 не дѣйств.),75,27,37650,64,88,489708,219,62,121500,176,291,542703 (1 не дѣйств.),881,635,2053299-14 1/2 (2 не дѣйствовали),2158
