ГОРОДА И УѢЗДЫ,Законнорожденных (Муж.),Законнорожденных (Жен.),Законнорожденных (Обоего пола)
Въ г. Красноярскѣ,624,585,*
“ Енисейскѣ,153,161,*
“ Канскѣ,187,157,*
“ Ачинскѣ,94,138,*
“ Минусинскѣ,217,205,*
“ Туруханскѣ,34,39,*
Итого въ городахъ,1309,1285,*
Въ Красноярскомъ округѣ,1605,1567,*
“ Енисейскомъ,1248,1192,*
“ Канскомъ,2362,2218,*
“ Ачинскомъ,3234,2959,*
“ Минусинскомъ,4544,4491,*
“ Туруханскомъ краѣ,136,121,*
“ Усинскомъ пограничномъ округѣ,37,39,*
Итого въ округахъ,13166,12587,*
ВСЕГО ВЪ ГУБЕРНІИ,14475,13872,*
