ГОРОДА И УѢЗДЫ,Законнорожденных (Муж.),Законнорожденных (Жен.),Законнорожденных (Обоего пола),Незаконнорожденных (Муж.),Незаконнорожденных (Жен.),Незаконнорожденных (Обоего пола),РОДИВШИХСЯ ВСЕГО (Муж.),РОДИВШИХСЯ ВСЕГО (Жен.),РОДИВШИХСЯ ВСЕГО (Обоего пола),ЧИСЛО УМЕРШИХЪ (Муж.),ЧИСЛО УМЕРШИХЪ (Жен.),ЧИСЛО УМЕРШИХЪ (Обоего пола),Прибыль + или убыль -,Число браковъ
Въ г. Красноярскѣ,624,585,*,*,114,216,726,699,1425,588,479,1067,+358,227
Въ г. Енисейскѣ,153,161,*,*,41,71,183,202,385,224,172,396,-11,66
Въ г. Канскѣ,187,157,*,*,25,51,213,182,395,268,132,400,-5,46
Въ г. Ачинскѣ,94,138,*,*,6,13,101,144,245,113,107,220,+25,24
Въ г. Минусинскѣ,217,205,*,*,19,31,230,224,454,192,150,342,+112,79
Въ г. Туруханскѣ,34,39,*,*,3,5,36,42,78,9,8,17,+61,8
Итого въ городахъ,1309,1285,*,*,208,388,1489,1493,2982,1394,1048,2442,+540,449
Въ Красноярскомъ округѣ,1605,1567,*,*,106,212,1711,1673,3384,1331,1109,2440,+944,425
Въ Енисейскомъ округѣ,1248,1192,*,*,121,237,1364,1313,2677,974,858,1852,+845,392
Въ Канскомъ округѣ,2362,2218,*,*,169,332,2525,2387,4912,1832,1599,3431,+1481,599
Въ Ачинскомъ округѣ,3234,2959,*,*,203,407,3438,3162,6600,2165,1944,4109,+2491,954
Въ Минусинскомъ округѣ,4544,4491,*,*,771,1579,5352,5262,10614,3176,2917,6093,+4521,1424
Въ Туруханскомъ краѣ,136,121,*,*,10,18,144,131,275,81,83,164,+111,45
Въ Усинскомъ пограничномъ округѣ,37,39,*,*,1,5,41,40,81,28,25,53,+28,9
Итого въ округахъ,13166,12587,*,*,1381,2790,14575,13968,28543,9587,8535,18122,+10421,3848
ВСЕГО ВЪ ГУБЕРНІИ,14475,13872,*,*,1589,3178,16064,15461,31525,10981,9583,20564,+10961,4297
