Поступило Недоимокъ,Поступило Оклада,Зачтено Недоимокъ,Зачтено Оклада,Исключено Недоимокъ,Исключено Оклада,ВСЕГО поступило зачтено и исключено,Будущихъ лѣтъ Недоимокъ,Будущихъ лѣтъ Оклада,Осталось въ недоимкахъ ВСЕГО,Осталось въ недоимкахъ Отрочен. и разсроченныхъ,Осталось въ недоимкахъ Срочныхъ и оклада отч. года,Поступило за другія,Примѣчанія
***,-,187-3 1/2,-,38-40,-,4489-89 1/2,-,-,19069-41,7754-50 1/2,12715-10 1/2,-,
-,-,-,-,-,-,-,-,-,2-92,-,2-92,-,
*-62,-,-,-,-,-,*-61,-,-,45-76 1/2,29-57 1/2,16-19,-,
*-67 1/2,-,-,-,-,-,73-*/ *,-,-,17-97,-,17-97,-,
**-7,-,1-35,-,-,-,21-32,-,-,86-92,-,86-82,-,
*-32,-,-,-,-,-,5-32,-,-,73-24,-,25-28,-,
-,-,*0-118 1/2,-,38-40,-,4*90-84 1/2,-,-,20145-16 1/2,7*82-88,12862-2*/ *,-,
*-60,-,1-65 1/2,-,-,-,364-25 1/2,-,-,80-49 1/2,-,80-42 1/2,-,
*-7*,-,-,-,-,-,1-70,-,-,*-*/ *,-,*-*/ *,-,
-74 1/2,-,-,-,-,-,*-74 1/2,-,-,2-18 1/2,-,2-18 1/2,-,
**,-,-,-,-,-,*-95 1/2,-,-,1-15 1/2,-,1-15 1/2,-,
1-20,-,-,-,-,-,3-29,-,-,13-87 1/2,-,13-87 1/2,-,
**,-,-,-,-,-,*-37,-,-,3-11,-,3-11,-,
**,-,1-65 1/2,-,-,-,271-51 1/2,-,-,102-83 1/2,-,109-55 1/2,-,
*-34,1734-88,-,-,-,-,2086-42,-,-,3293-86,1641-34,1654-50,-,
*-29,-,*-13 1/2,-,-,-,1*819-79 1/2,-,-,433*8-8 1/2,10634-25 1/2,32711-19 1/2,-,
-,-,-,-,-,-,-,-,-,9-32,-,9-*,-,
*2-*6,-,3-74,-,-,-,2*-29,-,-,197-*1*/ *,-,197-26 1/2,-,
**,1734-*,2*8-87 1/2,-,-,-,179*-*1*/ *,-,-,468*7-81*/ *,12279-61 1/2,34588-9*/ *,-,
-,297400-78,-,-,-,-,297400-78,-,1179-3,525*0-22,-,32399-22,-,
-,-,-,-,-,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,*8-82,-,38-82,-,
-,-,-,-,-,-,-,-,-,410-73,-,430-73,-,
-,297400-78,-,-,-,-,297400-78,-,1179-37,59048-79,-,*9*48-79,-,
*-39 1/2,6766-55 1/2,-,-,-,-,7153-75,-,647-*,36822-21 1/2,-,36822-21 1/2,-,
*-53,3276-35 1/2,-,-,-,-,3796-*8,-,2-16,6461-64 1/2,-,6461-64 1/2,-,
*-5*/ *,*-*/ *,-,-,-,-,1*50-78,-,649-16,43283-89*/ *,-,43283-8*/ *,*-5*/ *,
-,595-91,-,-,-,-,*95-91,-,-,616-79,-,6*6-79,-,
*-32*/ *,30*714-*/ *,429-*/ *,-,38-40,-,331721-19-*/ *,-,1*-53,164063-98,19563-49 1/2,144*02-48-*/ *,-,
