Наименование окладных сборов разрядов плательщиков и уѣздовъ,На 1 янв. 1899 - Отроченныхъ и разсроченныхъ,На 1 янв. 1899 - Срочныхъ,Причислено - Отроченныхъ и разсроченныхъ,Причислено - Срочныхъ,Исключено - Отроченныхъ и разсроченныхъ,Исключено - Срочныхъ,Поступление - ВСЕГО,Поступление - В том числѣ Отроченныхъ и разсроченныхъ,Поступление - В том числѣ Срочныхъ,ОКЛАДА
Съ прочихъ сословій § 1 ст. 3 п. а. Налога съ недвижимыхъ имуществъ и пени съ налога,1078-48,370-90,-,648-42,538-21,-,19*-54,588-19,1122-35,1-000-*
Губернская повинность,,,,,,,,,,
Съ крестьянъ старожиловъ,-,2*2-*/ *,-,119-25*/ *,-,-,2871-21*/ *,-,2871-21*/ *,15231-*
" отъ ссыльныхъ,-,16443-8*/ *,-,72-67*/ *,-,-,16432-36*/ *,-,16432-36*/ *,3806-*
Съ переселенц. полнаго оклада,-,1-71,-,14*-14,-,-,107-70,-,107-70,5395-*
Половиннаго,-,1-54 1/2,-,150-46 1/2,-,-,96-67 1/2,-,96-67 1/2,2206-*
Съ осѣдл. инородцевъ,-,*-*/ *,-,-,-,-,*-*/ *,-,*-*/ *,1*8-*
Съ купцовъ и мѣщанъ живущихъ въ селеніяхъ,-,791-30,-,-,-,157-4,634-26,-,634-26,2-*
Съ кочевыхъ инородцевъ,-,69-25 1/2,-,-,-,-,69-25 1/2,-,67-25 1/2,19-*
Съ переселенц. полнаго оклада,-,18770-26 1/2,-,1*8-31 1/2,-,3209-54 1/2,17159-3*/ *,-,17159-3*/ *,8306-*
Съ удобныхъ земель принадлежащихъ сельскимъ обществамъ,-,**,-,-,-,19-*1,10104-57 1/2,-,10194-57 1/2,11*-*
Съ прочихъ сословій,,,,,,,,,,
Съ мѣщанъ городовъ,-,11.00-21 1/2,-,75-30 1/2,-,134-7*,115*-73,-,115-73,11*-*
Съ удобныхъ земель принадлежащихъ городамъ,-,-,-,-,-,-,-,-,-,522-*
25 % сбора съ налога недвижимыхъ имуществъ городовъ,-,100-33 1/2,-,-,-,*-2,140-31 1/2,-,140-31 1/2,4*00-*
Пеня съ 25 % сбора,-,-,-,31-72,-,-,31-72,-,31-72,-
И т о г о,-,**,-,*-85 1/2,-,3890-27 1/2,-85,-,*201-85,-
Частная повинность,,,,,,,,,,
Съ крестьянъ старожиловъ,-,1574-22 1/2,-,60-*/ *,-,*-36,1634-72*/ *,-,1634-72*/ *,**
" отъ ссыльныхъ,-,2*93-90,-,2-*0*/ *,-,198-17 1/2,2.98-63*/ *,-,2*98-63*/ *,-
" отъ казаковъ,-,*-76 1/2,-,-,-,-,*-76 1/2,-,*-76 1/2,-
" отъ переселенц.,-,-,-,-,-,-,-,-,-,-
Половиннаго оклада,-,1-19,-,-,-,-,1-1*,-,1-1*,-
Съ купцовъ и мѣщанъ живущихъ въ селеніяхъ,-,162-3 1/2,-,-,-,15-56,146-47 1/2,-,146-47 1/2,-
Съ кочевыхъ инородцевъ,-,1-14,-,-,-,-,1-14,-,1-14,-
Изъ переселенц. полн. оклада,-,11*-*/ *,-,30-56 1/2,-,-,1*-87,-,1*-87,-
И т о г о,-,472-*/ *,-,99-*/ *,-,-,3*58-73*/ *,-,3*58-73*/ *,-
Оброчной подати съ осѣдлыхъ инородцевъ въ уѣздахъ,-,123-91,-,-,-,-,123-91,-,123-91,-
Ясачнаго сбора съ кочевыхъ и бродячихъ инородцевъ въ уѣздахъ,-,2732-75,-,-,-,128-84,*663-32,-,3000-27,4470-*
Пожарнаго капитала,-,638-31,-,*-14,-,37-56,909-79,-,600-79,-
Экономическаго капитала,-,-,-,-,-,-,-,-,-,-
Съ поселенцевъ полнаго и половиннаго оклада,-,2434-*/ *,-,524-57 1/2,-,1163-53 1/2,1708-22*/ *,-,1795-22*/ *,2444-*
Всего по губерніи,29648-*,134400-60 1/2,-,17677-14 1/2,9547-24 1/2,10478-8*/ *,191126-62*/ *,20101-88 1/2,171021-94*/ *,375450-*
