Поступило за отч. год (Недоимокъ),Поступило за отч. год (Оклада),Зачтено (Недоимокъ),Зачтено (Оклада),Исключено (Недоимокъ),Исключено (Оклада),ВСЕГО поступило зачтено и исключено,В счет буд. лѣт (Недоим. отср. и разср.),В счет буд. лѣт (Оклада),Осталось въ недоимкахъ ВСЕГО,В т.ч. Отрочен. и разсроч.,В т.ч. Срочныхъ и оклада,Всего за другія,Примѣчанія
*-87,16037-*,-,43-40,-,-,17176-6*,-,-,248*-94,538-19,1943-75,-,
*-63 1/2,15454-35,-,77-95,-,-,15789-9*/ *,-,158-24 1/2,2313-*/ *,-,2313-55*/ *,-,
*-43,564-26,-,18-11*/ *,-,-,1478-80*/ *,-,43-4*/ *,18765-17,-,18763-17,-,
*-70,2615-70,-,-,-,-,2723-40,-,12-62,2779-80,-,2779-*6,-,
*-4,1877-49 1/2,-,-,-,-,1917-52 1/2,-,*-4 1/2,383-32 1/2,-,382-32 1/2,-,
*-*/ *,107-82,-,18,-,-,168-*/ *,-,*-17 1/2,20-*,-,20-*,-,
*-96,2-*,-,-,-,-,112-98,-,-,523*-*,-,523-50,-,
-,-,-,-,-,-,-,-,-,-,-,-,-,
*-36,-,-,-,-,-,22-31,-,-,*-94 1/2,-,65-94 1/2,-,
*-72,3332-18 1/2,-,180-96 1/2,-,-,5666-16 1/2,-,89-26,30029-*1,-,20029-31,-,
*-*/ *,*-7*/ *,-,153-15,-,-,110106-2,-,109-72,19234-* 1/2*/ *,-,19294-81*/ *,-,
-,-,-,-,-,-,-,-,-,-,-,-,-,
*-*/ *,10*-97*/ *,-,-,-,-,12824-88,-,-,1*21-90-*/ *,-,1.921-9-*/ *,-,
-,522-88,-,-,-,-,522-88,-,-,-,-,-,-,
*-* 1/2*/ *,4027-45 1/2,-,-,-,-,4146-30,-,-,529-1 1/2,-,525-1 1/2,-,
*-72,-,-,-,-,-,21-72,-,-,-,-,-,-,
*-*/ *,143674-47 1/2,-,431-63*/ *,-,-,1*8428-91*/ *,-,454-1*/ *,**,-,7*626,-,
-,-,-,-,-,-,-,-,-,-,-,-,-,
*-* 1/2*/ *,-,-,-,-,-,274-51-*/ *,-,-,1360-21*/ *,-,1360-21*/ *,-,
22*/ *,-,-,-,-,-,62-*/ *,-,-,2336-40-*/ *,-,2336-40-*/ *,-,
-,-,-,-,-,-,-,-,-,*-70*/ *,-,*-70*/ *,-,
-,-,-,-,-,-,-,-,-,-,-,-,-,
*-6,-,-,-,-,-,*-6,-,-,1-13,-,1-13,-,
*-33,-,-,-,-,-,16-33,-,-,1*0-14 1/2*/ *,-,1*0-14 1/2*/ *,-,
-,-,-,-,-,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,1-14,-,1-14,-,
*-75*/ *,-,-,-,-,-,48-75*/ *,-,-,1006-1 1/2*/ *,-,1006-11 1/2*/ *,-,
*-*/ *,-,-,-,-,-,404-88*/ *,-,-,4834-8-*/ *,-,4834-8-*/ *,-,
*-90,-,-,*-1,-,-,123-91,-,20-73,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,-,-,
*-2*,2006-55,-,577-17,-,-,3509-9,-,545-17,3564-97,-,3564-97,-,
*-7,-,-,-,-,-,75-7,-,-,327-72,-,527-77,-,
*-50*/ *,933-45 1/2,-,220-22 1/2,-,-,1575-18 1/2-*/ *,-,41-74 1/2,3664-23*/ *,-,2684-25-*/ *,-,
*-*/ *,472425-7 1/2,420-27 1/2,1272-46*/ *,36-40,-,51000*-85,-,4718-82,254797-70,20101-68 1/2,206666-1*/ *,-,
