Енисейскомъ:,,,
Муки ржаной,„—72,„—74,„—77,„—53
“ пшеничной,1— 5,1— 9,1—10,„— 90
Овса,„—61,„—69,„—67,„—34
Канскомъ:,,,
Муки ржаной,„—75¹/₂,„—82,„—78³/₄,„—47¹/₂
“ пшеничной,1—11,1—24¹/₂,1—19,„—74
Овса,„—59,„—66¹/₂,„— 72,„—31¹/₂
Ачинскомъ:,,,
Муки ржаной,„—60,„—65,„—50,„—40
“ пшеничной,„—85,„—90,„—80,„—75
Овса,„—46,„—50,„—45,„—25
Минусинскомъ:,,,
Муки ржаной,„—35,„—40,„—50,„—40
“ пшеничной,„—48,„—53,„—75,„—55
Овса,„—30,„—35,„— 40,„—30
Усинскомъ пограничномъ:,,,
Муки ржаной,,,
“ пшеничной,п р о д а ж и  н е  п р о и з в о д и л о с ь,,
Овса,,,
