Наименованіе преступленій,Число преступленій,Число осужденныхъ м.,Число осужденныхъ ж.,Дворянъ потомственныхъ м.,Дворянъ потомственныхъ ж.,Дворянъ личныхъ м.,Дворянъ личныхъ ж.,Потомствен. гражданъ и купцовъ м.,Потомствен. гражданъ и купцовъ ж.,Духовнаго званія м.,Духовнаго званія ж.,Мѣщанъ м.,Мѣщанъ ж.,Крестьянъ м.,Крестьянъ ж.
"О преступленіяхъ и проступкахъ противъ законовъ о состояніяхъ 1412—1424",5,5,-,-,-,-,-,1,-,-,-,-,-,-,*
"О смертоубійствѣ 1449—1471",82,88,6,-,-,-,-,-,-,-,-,2,-,52,*
"О самоубійствѣ 1472—1476",-,-,-,-,-,-,-,-,-,-,-,-,-,-,*
"О нанесеніи увѣчья, ранъ и др. поврежденій здоровью 1477—1496",74,82,1,-,-,-,-,-,-,-,-,8,-,44,*
"О преступленіяхъ противъ чести и цѣломудрія женщинъ 1523—1532",4,4,-,-,-,-,-,-,-,-,-,-,-,3,*
"О непосредственныхъ личныхъ оскорбленіяхъ 1533—1534",-,-,-,-,-,-,-,-,-,-,-,-,-,-,*
"О клеветѣ и распространеніи оскорбительныхъ для чести сочиненій, оскорбленій или слуховъ 1535—1539",3,5,-,-,-,-,-,-,-,1,-,-,-,4,*
"Объ угрозахъ 1545—1548",-,-,-,-,-,-,-,-,-,-,-,-,-,-,*
"О преступленіяхъ противъ союза брачнаго 1549—1589",11,11,9,-,-,1,1,-,-,-,-,-,-,8,*
"О преступленіяхъ дѣтей противъ родителей и по другимъ совѣстнымъ дѣламъ 1591—1592",-,-,-,-,-,-,-,-,-,-,-,-,-,-,*
"О преступленіяхъ противъ союза родственнаго",-,-,-,-,-,-,-,-,-,-,-,-,-,-,*
"О зажигательствѣ 1606—1615",17,16,1,-,-,-,-,-,-,-,-,-,-,10,*
"О истребленіи чужаго имущества 1616—1625",-,-,-,-,-,-,-,-,-,-,-,-,-,-,*
"О разбоѣ 1627—1636",14,18,-,-,-,-,-,-,-,-,-,-,-,4,*
"О грабежѣ 1637—1643",32,53,-,-,-,-,-,-,-,-,-,3,-,17,*
"О кражѣ 1644—1664",189,226,26,-,-,-,-,2,-,-,-,8,1,31,*
"О мошенничествѣ 1665—1676",-,-,-,-,-,-,-,-,-,-,-,-,-,-,*
"О присвоеніи и утайкѣ чужой собственности 1677—1685",-,-,-,-,-,-,-,-,-,-,-,-,-,-,*
"О преступленіяхъ и проступкахъ по договорамъ и др. обязательствамъ 1686—1711",7,8,1,-,-,-,-,1,-,-,-,3,1,4,*
"Итого по Уложенію о наказаніяхъ",903,946,116,1,-,6,2,18,3,1,-,59,13,379,*
"По Мировому уставу",,,,,,,,,,,,,,,,
"О преступленіяхъ противъ порядка управленія 29—34",621,588,72,3,-,2,-,35,5,-,-,190,13,234,*
"О нарушеніи порядка и спокойствія 37—51",376,439,50,1,-,1,-,4,-,-,-,86,4,184,*
"О проступкахъ противъ общественнаго благоустройства 52—57",203,181,30,1,-,-,-,4,-,-,1,33,11,67,*
"О нарушеніи устава о паспортахъ 58—64",333,311,16,2,-,1,-,2,-,-,-,18,1,115,*
"О нарушеніи устава строительнаго 65—87",97,95,13,2,-,1,-,4,1,-,-,20,4,34,*
