ЧИСЛѢ Военныхъ м.,ЧИСЛѢ Военныхъ ж.,ЧИСЛѢ Инородцевъ м.,ЧИСЛѢ Инородцевъ ж.,ЧИСЛѢ Иностранныхъ подданныхъ м.,ЧИСЛѢ Иностранныхъ подданныхъ ж.,ЧИСЛѢ Поселенцевъ м.,ЧИСЛѢ Поселенцевъ ж.,ЧИСЛѢ Ссыльно-каторжныхъ м.,ЧИСЛѢ Ссыльно-каторжныхъ ж.,ВОЗРАСТЪ Ниже 17 лѣтъ м.,ВОЗРАСТЪ Ниже 17 лѣтъ ж.,ВОЗРАСТЪ 17—20 м.,ВОЗРАСТЪ 17—20 ж.,ВОЗРАСТЪ 21—30 м.,ВОЗРАСТЪ 21—30 ж.,ВОЗРАСТЪ 31—40 м.,ВОЗРАСТЪ 31—40 ж.,ВОЗРАСТЪ 41—50 м.,ВОЗРАСТЪ 41—50 ж.,ВОЗРАСТЪ 51—60 м.,ВОЗРАСТЪ 51—60 ж.,ВОЗРАСТЪ Свыше 60 лѣтъ м.,ВОЗРАСТЪ Свыше 60 лѣтъ ж.
-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,1,-,-,-,31,-,1,-,2,-,8,-,28,3,27,1,19,1,2,1,2,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,19,-,-,-,1,-,10,-,20,-,18,-,12,1,7,-,3,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,1,-,-,-,-,-,-,-,3,-,-,-,1,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,1,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,4,3,1,2,1,1,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,5,-,-,-,-,-,1,-,5,-,4,1,3,-,-,-,3,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,1,-,-,-,13,-,-,-,-,-,1,-,6,-,8,-,1,-,1,-,1,-
-,-,-,-,-,-,33,-,-,-,-,-,1,-,25,-,22,-,3,-,2,-,-,-
-,-,1,-,-,-,181,6,-,-,1,-,12,-,76,16,64,6,49,4,18,-,6,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,3,-,3,-,-,-,-,-
25,-,8,2,2,1,359,8,10,-,5,-,53,1,304,42,279,27,154,19,59,8,21,2
3,2,3,1,-,-,60,4,-,-,1,1,36,1,168,17,156,24,103,13,40,7,16,3
5,-,1,-,-,-,48,-,-,-,-,-,23,-,103,5,88,13,62,6,11,3,10,-
-,-,-,-,1,-,3,-,-,-,-,-,1,-,31,4,26,7,26,4,16,3,6,1
-,-,2,-,-,-,163,2,-,-,-,-,9,2,63,6,85,-,91,2,37,2,16,2
-,-,2,-,-,-,5,-,-,-,-,-,-,-,13,1,32,2,13,1,4,-,2,-
