ГОРОДА И УѢЗДЫ,Въ зимніе мѣсяцы (Число пожаровъ),Въ зимніе мѣсяцы (Число погорѣвшихъ дворовъ),Въ зимніе мѣсяцы (Сумма убытковъ),Въ весенніе мѣсяцы (Число пожаровъ),Въ весенніе мѣсяцы (Число погорѣвшихъ дворовъ),Въ весенніе мѣсяцы (Сумма убытковъ)
Въ гор. Красноярскѣ,13,10,6160,8,-,*
“ уѣздѣ онаго,28,28,1432,13,11,*
“ гор. Енисейскѣ,2,2,6020,1,1,8*
“ уѣздѣ онаго,34,2,8488,8,4,*
“ гор. Канскѣ,-,-,-,-,-,-
“ уѣздѣ онаго,19,9,1019-30,19,12,128*
“ гор. Ачинскѣ,1,1,40,1,1,*
“ уѣздѣ онаго,19,20,944,19,89,*
“ гор. Минусинскѣ,-,-,-,1,45,14*
“ уѣздѣ онаго,34,34,1390,10,12,*
“ Усинскомъ пограничномъ округѣ,-,-,-,-,-,-
“ Туруханскомъ краѣ,-,-,-,-,-,-
И т о г о,150,106,25493-30,80,175,17258*
