Въ лѣтніе мѣсяцы (Число пожаровъ),Въ лѣтніе мѣсяцы (Число погорѣвшихъ дворовъ),Въ лѣтніе мѣсяцы (Сумма убытковъ),Въ осенніе мѣсяцы (Число пожаровъ),Въ осенніе мѣсяцы (Число погорѣвшихъ дворовъ),Въ осенніе мѣсяцы (Сумма убытковъ),Всего въ годъ (Число пожаровъ),Всего въ годъ (Число погорѣвшихъ дворовъ),Всего въ годъ (Сумма убытковъ),Причина пожаровъ (Отъ дурнаго устройства печей и трубъ),Причина пожаровъ (Отъ неосторожности),Причина пожаровъ (Отъ поджога),Причина пожаровъ (Отъ другихъ причинъ)
*, -, 6920, 5, -, 660, 36, 10, 14830, -, 17, 4, 15
*, 5, 460, 23, 19, 5038-34, 69, 69, 7579-34, 9, 24, 13, 23
*, 1, 800, 2, 2, 3000, 6, 6, 17820, 1, 1, -, 4
*, 8, 815, 5, 4, 247, 56, 18, 8840, 2, 34, 1, 19
*, 1, 200, 1, 1, 300, 2, 2, 500, -, 2, -, -
*, 6, 1336, 27, 7, 2824, 83, 34, 17988-95, 2, 28, 30, 23
*, -, -, 1, -, 10, 3, 2, 250, 1, 2, -, -
*, 26, 3535, 11, 11, 825, 73, 146, 14638, 4, 46, 7, 16
*, 7, 21150, 2, 2, 65, 5, 54, 161275, 1, 2, 1, 1
*, 9, 571, 21, 21, 715, 74, 76, 2899, 11, 54, 2, 7
*, -, -, -, -, -, -, -, -, -, -, -, -
*, -, -, -, -, -, -, -, -, -, -, -, -
*, 63, 35787, 98, 67, 13684-34, 407, 411, 246620-29, 31, 210, 58, 108
