ГОРОДА И УѢЗДЫ,Число случаевъ смертоубійства (Дѣтоубійство новорожденныхъ),Число случаевъ смертоубійства (Смертоубійство),Число случаевъ смертоубійства (Итого),Жертвы смертоубійства (Дѣтоубійство м.),Жертвы смертоубійства (Дѣтоубійство ж.),Жертвы смертоубійства (Смертоубійство м.),Жертвы смертоубійства (Смертоубійство ж.),Жертвы смертоубійства (Итого м.),Жертвы смертоубійства (Итого ж.),Самоубійство м.,Самоубійство ж.,Скоропостижно умершіе (Отъ болѣзни м.),Скоропостижно умершіе (Отъ болѣзни ж.),Скоропостижно умершіе (Отъ пьянства м.),Скоропостижно умершіе (Отъ пьянства ж.),Скоропостижно умершіе (Отъ неизвѣстныхъ причинъ м.),Скоропостижно умершіе (Отъ неизвѣстныхъ причинъ ж.),Скоропостижно умершіе (Итого м.),Скоропостижно умершіе (Итого ж.)
Въ г. Красноярскѣ,-,19,19,-,-,18,1,18,1,14,-,-,-,5,1,-,*,*,*
“ уѣздѣ онаго,2,17,19,1,1,14,3,15,4,3,-,5,3,1,1,14,*,*,*
“ г. Енисейскѣ,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,*,*,*
“ уѣздѣ онаго,1,6,7,1,-,4,2,5,2,-,-,2,-,2,-,6,*,*,*
“ г. Канскѣ,-,10,10,-,-,8,2,8,2,1,-,-,-,1,-,-,*,*,*
“ уѣздѣ онаго,-,54,54,-,-,50,4,50,4,9,1,-,-,4,-,-,*,*,*
“ г. Ачинскѣ,1,5,6,1,-,5,-,6,-,-,-,-,-,-,-,-,*,*,*
“ уѣздѣ онаго,-,9,9,-,-,8,1,8,1,5,-,-,-,-,-,-,*,*,*
“ г. Минусинскѣ,-,1,-,-,-,1,-,1,-,2,-,-,-,1,-,-,*,*,*
“ уѣздѣ онаго,2,22,24,2,-,19,3,21,3,14,2,-,-,9,2,-,*,*,*
“ г. Туруханскѣ / Туруханскомъ краѣ,1,1,2,-,1,1,-,1,1,-,-,-,-,1,-,-,*,*,*
“ Усинскомъ погр. округѣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,*,*
На частныхъ золотыхъ промыслахъ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Итого,7,144,151,5,2,128,16,133,18,54,3,7,3,24,4,20,*,*,*
