Найденныя мертвыя тѣла (м.),Найденныя мертвыя тѣла (ж.),Убито градомъ (м.),Убито градомъ (ж.),Задавлено и упало съ высоты (м.),Задавлено и упало съ высоты (ж.),Сгорѣло и убито на пожарахъ (м.),Сгорѣло и убито на пожарахъ (ж.),Умерло отъ угара (м.),Умерло отъ угара (ж.),Замерзло (м.),Замерзло (ж.),Утонуло (м.),Утонуло (ж.),Укушено до смерти звѣрями (м.),Укушено до смерти звѣрями (ж.),Умерло отъ другихъ случайностей (м.),Умерло отъ другихъ случайностей (ж.),Итого случайной смерти (м.),Итого случайной смерти (ж.),Всего умерло отъ насильственной смерти и случайностей (м.),Всего умерло отъ насильственной смерти и случайностей (ж.)
-,-,1,-,1,-,-,-,-,-,1,-,4,-,-,-,14,2,21,2,58,4
7,1,-,-,4,-,1,-,1,-,1,-,7,1,-,-,1,-,15,1,60,12
-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,12,-,15,-,21,-
6,-,1,-,-,-,3,1,-,-,1,-,8,3,-,-,6,-,19,4,40,7
2,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,3,-,5,-,17,2
5,1,-,-,2,-,4,1,1,-,2,-,12,2,-,-,35,3,56,6,124,12
-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,9,-,10,-,16,-
-,-,-,-,1,-,-,-,-,-,-,-,4,1,-,-,20,4,25,5,38,6
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,3,-,7,-
-,-,1,-,8,-,1,-,3,-,8,-,18,1,-,-,60,10,94,11,138,18
-,-,-,-,-,-,1,1,-,-,1,-,3,-,-,-,-,-,5,1,7,2
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,2,3,-,19,-,10,3,6,-,9,-,58,8,-,-,164,19,269,30,527,63
