НАЗВАНІЕ УЧЕБНЫХЪ ЗАВЕДЕНІЙ,Число учебныхъ заведеній,Число учащихся М.,Число учащихся Ж.
Мужская классическая гимназія,1,2*,-
" шестиклассная прогимназія,-,-,-
Женская гимназія,1,-,72
" прогимназія,-,-,-
Учительская семинарія,1,*,-
При ней начальная школа,1,*,-
Духовная семинарія,1,7*,-
Техническое желѣзнодорожное училище,1,8*,-
Городскія 3-хъ классныя училища,1,17*,-
" 2-хъ классныя ",-,-,-
" приходскія городскія училища,-,-,-
Городскія 2-хъ классныя училища,-,-,-
" оноклассныя ",9,42*,87
Духовное училище,1,1*,-
Епархіальное женское училище,1,-,92
Начальное женское училище,1,-,50
Владимірскій дѣтскій пріютъ,1,-,40
Щеголевское ремесленное 2-хъ классное училище,1,*,-
Сельское ремесленное училище,-,-,-
Сельскія начальныя училища,-,-,-
Церковно-приходскія школы,1,-,45
Воскресныя школы,-,-,-
Школы грамотности,-,-,-
Пріютъ арестантскихъ дѣтей,1,*,15
Александровскій домъ призрѣнія бѣдныхъ дѣтей,-,-,-
Училище при сиропитательномъ домѣ Щеголевой,1,*,7
Частныя школы,-,-,-
И Т О Г О,24,13*,*08
