НАЗВАНІЕ УЧЕБНЫХЪ ЗАВЕДЕНІЙ,Въ уѣздныхъ городахъ (Число учебныхъ заведений),Въ уѣздныхъ городахъ учащихся (М.),Въ уѣздныхъ городахъ учащихся (Ж.),Въ уѣздахъ (Число учебныхъ заведений),Въ уѣздахъ учащихся (М.),Въ уѣздахъ учащихся (Ж.),ВСЕГО въ губерніи (Число учебныхъ заведений),ВСЕГО въ губерніи учащихся (М.),ВСЕГО въ губерніи учащихся (Ж.),ВСЕГО въ губерніи учащихся (Обоего пола)
Мужская классическая гимназія,-,-,-,-,-,-,1,272,-,272
" шестиклассная прогимназія,1,100,-,-,-,-,1,100,-,100
Женская гимназія,1,-,442,-,-,-,2,-,514,514
" прогимназія,2,-,254,-,-,-,2,-,254,254
Учительская семинарія,-,-,-,-,-,-,1,53,-,53
При ней начальная школа,-,-,-,-,-,-,1,50,-,50
Духовная семинарія,-,-,-,-,-,-,1,76,-,76
Техническое желѣзнодорожное училище,-,-,-,-,-,-,1,84,-,84
Городскія 3-хъ классныя училища,4,557,-,-,-,-,5,727,-,727
" 2-хъ классныя ",1,114,-,-,-,-,1,114,-,114
" приходскія городскія училища,8,491,92,-,-,-,8,491,92,583
Городскія 2-хъ классныя училища,-,-,-,3,170,118,3,170,118,288
" оноклассныя ",1,55,30,-,-,-,10,475,117,592
Духовное училище,-,-,-,-,-,-,1,142,-,142
Епархіальное женское училище,-,-,-,-,-,-,1,-,92,92
Начальное женское училище,2,-,163,-,-,-,3,-,213,213
Владимірскій дѣтскій пріютъ,-,-,-,-,-,-,1,-,40,40
Щеголевское ремесленное 2-хъ классное училище,-,-,-,-,-,-,1,47,-,47
Сельское ремесленное училище,-,-,-,1,18,18,1,18,18,36
Сельскія начальныя училища,-,-,-,59,1998,849,59,1998,849,2847
Церковно-приходскія школы,3,56,83,131,2286,1031,135,2342,1159,3501
Воскресныя школы,1,-,61,-,-,-,1,-,61,61
Школы грамотности,-,-,-,44,635,249,44,635,249,884
Пріютъ арестантскихъ дѣтей,-,-,-,-,-,-,1,21,15,36
Александровскій домъ призрѣнія бѣдныхъ дѣтей,1,22,-,-,-,-,1,22,-,22
Училище при сиропитательномъ домѣ Щеголевой,-,-,-,-,-,-,1,7,7,14
Частныя школы,1,-,20,-,-,-,1,-,20,20
И Т О Г О,26,1395,845,238,5107,2265,288,7844,3818,11662
