Добыто золота:,п.,ф.,з.,д.
1-й,51,19,15,4
2-й,79,34,5,23
3-й,7,2,82,34
4-й,12,24,85,83
5-й,34,24,29,16
6-й,3,1,67,66
Итого,188,26,93,34
Сложное содержаніе въ 100 пуд. песку:,,,,д.
1-й,,,,26
2-й,,,,27
3-й,,,,48
4-й,,,,-
5-й,,,,-
6-й,,,,28
На пріискахъ находилось:,рабоч.,служ.,жен. и дѣт.,
1-й,2821,190,341,
2-й,3316,192,880,
3-й,376,37,115,
4-й,699,63,-,
5-й,1579,122,-,
6-й,569,7,103,
Военная стража на промыслахъ:,чел.,,,
1-й системы,28,,,
2-й,35,,,
3-й,8,,,
4-й,}68,,,
5-й,}68,,,
6-й,3,,,
Итого,142,,,
Изъ того числа нанятыхъ людей:,Не явилось,Бѣжало,Поймано,
1-й системы,94,67,-,
2-й,-,22,-,
3-й,-,31,-,
4-й,2,-,-,
