,По малолетству,По помешательству в уме,По глухонемоте,По спорам наследников и по домам их,Над имением неосторожных должников,По безвестному отсутствию,За расточительность,По злоупотреблению помещичьей власти,По лишению прав дворянства,По отсутствию от православия
В Красноярске: по дворянской опеке,6,-,-,-,1,-,-,-,-,-
В Красноярске: городской,8,-,-,2,-,-,1,-,-,-
В Енисейске: по дворянской опеке,-,-,-,-,-,-,-,-,-,-
В Енисейске: городской,53,-,1,-,1,-,-,-,-,-
В Ачинске: по дворянской опеке,1,-,-,-,-,-,-,-,-,-
В Ачинске: городской,12,-,-,-,-,-,-,-,-,-
В Канске: по дворянской опеке,1,-,-,-,-,-,-,-,-,-
В Канске: городской,2,-,-,1,-,-,-,-,-,-
В Минусинске: по дворянской опеке,-,-,-,-,-,-,-,-,-,-
В Минусинске: городской,9,-,-,1,1,-,-,-,-,-
Итого,92,-,1,4,3,-,1,-,-,-
