"Сверх того, обязательно Енисейской губернии отправлены натурою, без платежей денег, следующие возможности","Число людей, взятых, отправленных на постой",Число подвод,Время занятий
"1. Исправление дорог, мостов, галей, бичевника, перил, столбов, приготовление для оных лесу",13053,12078,от 15 до 30 дней
"2. Отправление обывательской междудворовой гоньбы",32021,35059,1 год
"3. Содержание перевозов чрез реки по трактовым и проселочным дорогам",144,–“–,от 15 дней до 18 месяцев
"4. Караул при церквах и сельских экономических магазинах, употребление людей при волостных правлениях и проч. в должностях десятников и рассыльщиков",2093,–“–,1 год
"5. Приготовление леса для общественных строений и дров на отопление общественных зданий, тюрем и церквей",1334,1169,от 15 дней до 1 года
"6. Поправка общественных зданий, магазинов, ледников, караулов и проч.",3238,4112,от 7 дней до 30 дней
"7. Содержание в известных местах кордонов: поимки беглых, препровождение их и пересылка партий",3368,2840,1 год
"8. Прекращение лесных пожаров",338,229,от 12 до 30 дней
"9. Работы при межевании",576,192,от 12 дней до 6 месяцев
"10. Препровождение покосных партий",2723,4189,от 3 дней до 1 года
"11. Провоз каравана с серебром и препровождение артиллерийских орудий",32,84,от 1 до 2 дней
Итого,64470,109952,–
