Звание городов и селений, где находятся фабрики и заводы,Какие фабрики и заводы и сколько,На какую сумму выделывается товару,Куда сбыт производится
В г. Красноярске,Кожевенных – 8,7305 р.,В самом городе Красноярске и в окрестных селениях
,Мыловаренный – 1,500 р.,
,Маслобойный – 1,100 р.,
,Свечных – 4,7900 р.,
,Воскодельный – 1,16150 р.,
,Кирпичных – 7,1690 р.,
,Гончарный – 1,60 р.,
,Экипажных – 3,1300 р.,
,Канатный – 1,900 р.,
,Папиросных – 4,8900 р.,
"В округе его Заледеевской волости Знаменский При оном",Стеклоделательный – 1,1350 р.,В Енисейскую и Томскую губернии
,Фаянсовый – 1,1000 р.,
"Ладейской волости близ д. Терентьевой по речке Есауловке",Бумажная – 1,2125 р.,"В Енисейской, Томской и Иркутской губерниях"
В г. Енисейске,Кожевенных – 2,920 р.,В г. Енисейске, окрестных селениях и в Туруханском крае
,Мыловаренных – 3,1440 р.,
,Салотопленный – 1,1625 р.,
,Канатных – 4,840 р.,
,Кирпичных – 16,13250 р.,
,Экипажный – 1,1700 р.,
В ОКРУГЕ оного У крестьян в домах,Гончарных – 25,1950 р.,Внутри округа
В г. Ачинске,Кожевенных – 2,6900 р.,В г. Ачинске и округе оного
В Округе оного Балахтинской волости,Салотопленный – 1,350 р.,В г. Ачинске и округе оного
,Мыловаренный – 1,250 р.,
,Кирпичных – 2,150 р.,
,Гончарных – 2,70 р.,
,Канатных – 2,750 р.,
,Маслобойных – 3,131 р.,
