Название городов,Количество лошадей,Число рогатого скота,Овец простых,Овец тонкорунных,Свиней,Козлов,Верблюдов,Оленей
В Красноярске,1876,1029,102,—,123,191,—,—
– округе оного,47524,26843,30450,—,21361,1224,—,—
– Енисейске,1043,630,15,—,34,9,Собак 115,1
– округе оного,26277,20718,11266,—,10970,26,Собак 14,3212
– Ачинске,1474,683,243,—,403,35,—,—
– округе оного,57537,43347,61607,—,24387,612,—,—
– Канске,1127,966,435,—,250,33,—,—
– округе оного,45480,33095,41820,—,18538,562,—,337
– Минусинске,3013,2466,2866,—,127,179,—,—
– округе оного,104803,129269,198356,—,14842,4934,—,1
– Туруханском крае,50/390,49/550,—,—,—,—,Собак 43/860,28300
Всего,300594,259645,347160,—,91335,7855,1032,31851
