Звание округов,Название различного рода хлеба,Справочные цены за четверть зимние,Справочные цены за четверть весенние,Справочные цены за четверть летние,Справочные цены за четверть осенние,Торговые цены за четверть зимние,Торговые цены за четверть весенние,Торговые цены за четверть летние,Торговые цены за четверть осенние
В Туруханском крае,Пшеницы,3-62,3-62,3-62,3-62,3-62,3-62,3-62,3-62
,Круп ячных,4-98,4-98,4-98,4-98,4-98,4-98,4-98,4-98
,Овса,1-65,1-65,1-65,1-65,1-65,1-65,1-65,1-65
,Ячменя,2-61,2-61,2-61,2-61,2-61,2-61,2-61,2-61
,Гороху,1-7,1-7,—,—,1-7,1-7,—,—
,Картофель,—,—,—,—,6,—,—,—
,Мука ржаная,—,—,—,—,5-60,6,—,—
,,пшеничная,—,—,—,—,12-50,12-50,12-50,12-50
,Крупа гречневая,—,—,—,—,16,16,16,16
