Звание городов и округов,Общее число жителей Мужск.,Общее число жителей Женск.,Число родившихся Мужск.,Число родившихся Женск.,Число умерших Мужск.,Число умерших Женск.,Разность между числом родившихся и умерших Мужск.,Разность между числом родившихся и умерших Женск.,Число браков
В Красноярске,5332,4615,201,209,214,190,13,19,86
– округе оного,28981,25142,1435,1278,1654,1180,219,98,524
– Енисейске,3757,3073,176,174,273,224,97,50,66
– округе оного,19201,18630,1133,1094,1172,811,39,283,258
– Ачинске,1654,1525,65,54,85,56,20,2,25
– округе оного,26124,27090,1346,1324,1072,951,274,373,493
– Канске,1145,1086,52,60,97,69,45,9,16
– округе оного,28653,24430,1346,1205,1275,1017,71,188,475
– Минусинске,2014,1858,109,132,141,74,32,58,30
– округе оного,44756,41604,2030,1915,1388,1006,642,909,598
– Туруханском крае,4047,3967,66,60,37,22,29,38,43
Итого,185719,159316,8009,7505,7380,5600,329,1905,2614
