Название преступлений,Число преступлений,Примечания
Конокрадство,67,"По 32 делам 39 виновных предано суду, по 16 делам 29 обвиняемых под следствием, а по 19 делам виновных не открыто."
"Нанесение побоев, ран и увечья",65,"4 дела окончены миром, по 38 делам 41 виновных преданы суду, по 15 делам 17 обвиняемых под следствием и по 8 делам виновных не открыто."
Бродяжеств,312,"Виновных 256 осуждено, о 62 производится следствие."
Дезертиров,10,Виновных 10 человек предано суду.
Передержательств,11,"По 8 делам 14 виновных предано суду, по 1 делу виновных не открыто, а по 2 проводится следствие."
Побег арестантов,22,"По 14 делам предано суду виновных 29 человек, по 8 делам производится следствие."
Упуск арестантов,9,"По 6 делам 7 виновных предано суду, по 2 делам 2 человека под следствием, а по 1 делу 4 обвиняемых переданы в ведение военно-судебной полиции."
Перевод шлихового золота,1,Виновных не открыто.
Побег с золотых промыслов,2,2 виновных предано суду.
Буйство,1,Виновный предан суду.
Личная обида,118,"11 дел окончено мировыми прошениями, по 62 делам 63 виновных предано суду, по 45 делам производятся следствия."
Покупка кредитных билетов,12,"По 8 делам 5 виновных осуждены и 5 обвиняемых под следствием, по 4 делам виновных не открыто."
Имение фальшивых кредитных билетов,8,"По 3 делам 4 виновных предано суду, по 4 делам производится следствие, по 1 делу виновных не открыто."
