Название городов и округов,Приемлющих священство Муж.,Приемлющих священство Жен.,Беглопоповцев Приемлющих брак Муж.,Беглопоповцев Приемлющих брак Жен.,Беглопоповцев Не приемлющих брак Муж.,Беглопоповцев Не приемлющих брак Жен.
В Красноярске,-,-,2,-,1,-
– округе оного,4,-,44,37,25,73
– Енисейске,-,-,-,-,-,-
– округе оного,-,-,2,2,4,4
– Ачинске,2,1,1,-,-,-
– округе оного,4,1,106,111,-,-
– Канске,-,-,-,-,-,-
– округе оного,6,-,15,15,1,1
– Минусинске,8,4,1,1,-,-
– округе оного,228,233,-,-,38,40
– Туруханском крае,-,-,27,13,-,-
Итого по всей губернии,259,239,193,179,69,58
