"Молокан, духоборцев и иконоборцев Муж.","Молокан, духоборцев и иконоборцев Жен.","Субботников и иудействующих Муж.","Субботников и иудействующих Жен.","Скопцов, хлыстов, Шалопутов и других придерживающихся скопчества Муж.","Скопцов, хлыстов, Шалопутов и других придерживающихся скопчества Жен.","ИТОГО Муж.","ИТОГО Жен.",Всего
9,2,–,–,4,–,16,2,18
10,7,5,–,11,6,99,63,162
–,–,–,–,2,–,2,–,2
1,1,–,–,3,2,10,9,19
–,–,–,–,1,1,4,2,6
1,–,–,–,2,1,113,113,226
–,–,–,–,3,1,3,1,4
2,–,–,1,4,–,28,17,45
10,6,–,–,25,19,44,30,74
124,119,325,393,88,86,803,801,1604
46,31,–,1,39,28,112,73,185
203,166,330,325,182,144,1234,1111,2345
