Звание округов,Римско-католического (муж.),Римско-католического (жен.),Лютеранско-реформатского (муж.),Лютеранско-реформатского (жен.),Мусульманского (муж.),Мусульманского (жен.),Идолопоклонников (муж.),Идолопоклонников (жен.),Евреев (муж.),Евреев (жен.)
В Красноярске,135,63,49,17,37,14,1,-,124,104
— округе оного,320,51,111,38,60,21,-,-,102,90
— Енисейске,36,9,5,5,73,7,-,1,199,150
— округе оного,56,18,9,1,64,2,105,48,63,49
— Ачинске,10,2,9,5,14,2,-,-,64,72
— округе оного,82,18,11,8,55,17,-,-,62,49
— Канске,16,8,1,2,1,1,-,-,52,44
— округе оного,288,85,5,7,82,17,-,-,97,54
— Минусинске,26,7,39,9,6,-,4,6,10,15
— округе оного,338,127,773,909,34,20,2708,2829,32,31
— Туруханское отделение управления,-,-,-,-,-,-,1182,1014,-,-
Итого во всей губернии,1247,286,1012,301,426,101,4003,3895,805,658
