По городам и округам,Число пожаров,Церквей,Казенных зданий,"Домов крестьян казенных, помещичьих и вообще частным лицам принадлежащих, а также фабрик, заводов и мельниц",На какую сумму Руб.,На какую сумму Коп.,Число погибших людей от пожаров,Кораблекрушений
В Красноярске,6,-,-,22,11810,-,-,-
– округе оного,40,-,-,24,22809,26,2,-
– Енисейске,7,-,-,7,9100,-,-,-
– округе оного,11,-,-,10,3832,35,1,-
– Ачинске,2,-,-,4,2522,-,-,-
– округе оного,8,-,-,6,1390,69,-,-
– Канске,10,-,-,6,1457,-,-,-
– округе оного,16,-,-,25,5645,76,1,-
– Минусинске,-,-,-,-,-,-,-,-
– округе оного,15,-,-,14,3577,45,10,-
– Туруханском крае,-,-,-,-,-,-,-,-
Итого в губернии,115,-,-,118,47174,58,15,-
