Наименование,Число заведений,Число учащихся мальч.,Число учащихся девоч.
"а) Учебные гражданские заведения. Училищ: Уездных",2,260,-
"Приходских: В городах",7,316,1
"Приходских: В округах",11,215,53
"Сельских: В селениях государственных для крестьян",5,53,3
"Женские училища 2-го разряда в г. Енисейске",1,-,36
"Народная школа грамотности в г. Красноярске",1,40,-
"б) Духовное: Уездное",1,127,-
"в) Казачья Школы: Красноярская полковая",1,19,-
"В станицах: Мининской",1,32,-
"Торгашинской",1,29,-
"Белоярской",1,45,-
"Таштыпской",1,29,-
"Каратузской",1,36,-
"Саянской",1,35,-
"Бугачевской",1,34,-
"Суэтукской",1,31,-
"Дрокинской",1,25,-
"Воспитательное заведение: Владимирский детский приют в г. Красноярске",1,26,69
"Итого",40,1352,162
