В каких местах,Оставалось дел нерешенных к 1 января 1863 г.,Вновь поступило в течение года,Решено в течение года,За сим местом,За другими местами,Итого
В Общем губернском управлении,995,3451,3448,3,995,998
– Губернском правлении,1080,3786,4161,–,705,705
– Казенной палате,966,1607,1444,178,951,1129
– Губернском суде,385,576,825,22,114,136
– Приказе общественного призрения,336,355,349,–,342,342
– Врачебной управе,97,143,140,9,21,30
У губернского прокурора,30,58,61,–,27,27
У ОКРУЖНЫХ СТРЯПЧИХ:,,,,,,
Красноярского,2,18,15,–,5,5
Енисейского,2,77,76,–,3,3
Канского,–,45,45,–,–,–
Минусинского,2,20,22,–,–,–
Ачинского,1,72,70,–,3,3
Губернского и окружных землемеров,131,42,59,91,23,114
В ОБЩИХ ОКРУЖНЫХ УПРАВЛЕНИЯХ:,,,,,,
Енисейском,172,180,156,1,195,196
Минусинском,180,273,283,5,165,170
В ГРАДСКИХ ПОЛИЦИЯХ И У ГОРОДНИЧИХ:,,,,,,
Красноярской,80,640,569,81,70,151
Енисейской,1,131,114,3,15,18
Канской,9,91,85,–,15,15
Минусинской,26,75,63,2,36,38
Ачинской,21,151,147,3,22,25
В ГРАДСКИХ ДУМАХ:,,,,,,
Красноярской,122,3,83,65,37,102
