Наименование,Осталось неисполненных к 1 января 1863 г.,Требующих производства,Подлежащих к приобщению к делу или к сведению,ИТОГО,Из сего числа исполнено по 1 января 1864 г.,За тем к 1 января 1864 г. осталось неисполненных,Исполнить нумеров с 1 января 1863 по 1 января 1864 г.
Енисейском,16,6308,1927,6324,6311,13,11958
Канском,13,6720,2180,6733,6716,17,2855
Минусинском,139,5862,2176,6001,5715,284,9356
Ачинском,17,6660,2075,6697,6677,20,12300
В ОКРУЖНЫХ КАЗНАЧЕЙСТВАХ:,,,,,,,
Красноярском,61,3400,735,3461,3400,61,2739
Енисейском,50,3380,240,3430,3391,39,2326
Канском,7,1753,97,1760,1750,10,1954
Минусинском,3,4809,305,4819,4808,4,3998
Ачинском,14,1357,556,1371,1354,17,2380
В Туруханском отдельном управлении,39,1150,829,1189,1164,25,2020
А всего,1831,166607,43788,168438,164653,3785,246689
