id;date_text;event_ref;context
d1;1900 год;1900;ДЕЛО КАНЦЕЛЯРИИ ИРКУТСКОГО ВОЕННОГО ГЕНЕРАЛ-ГУБЕРНАТОРА 4-е делопроизводство Отчет и обзор Енисейской губернии за 1900 год (Копия)
d2;27 сентября 1901 г.;1901-09-27;Началось 27 сентября 1901 г. Кончилось 10 января 1902 г. На 90 листах
d3;10 января 1902 г.;1902-01-10;Началось 27 сентября 1901 г. Кончилось 10 января 1902 г. На 90 листах
d4;27 сентября 1901 года;1901-09-27;2 М. В. Д. ЕНИСЕЙСКИЙ ГУБЕРНАТОР ПО ГУБЕРНСКОМУ УПРАВЛЕНИЮ Отделение I Делопроизводство 1 Донесение 27 сентября 1901 года № 7868 г. Красноярск В Канцелярию Г. Иркутского Военного Генерал-Губернатору ПРАВИТЕЛЬ КАНЦЕЛЯРИИ ИРКУТСКОГО 6 ОКТ. 1901 ВОЕННОГО ГЕНЕРАЛ-ГУБЕРНАТОРА Имею честь препроводить при сем в Канцелярию Генерал-Губернатора один экземпляр статистического обзора Енисейской губернии за 1900 год. Губернатор Плец Советник *** Делопроизводитель Курылев
d5;1900 год;1900;2 М. В. Д. ЕНИСЕЙСКИЙ ГУБЕРНАТОР ПО ГУБЕРНСКОМУ УПРАВЛЕНИЮ Отделение I Делопроизводство 1 Донесение 27 сентября 1901 года № 7868 г. Красноярск В Канцелярию Г. Иркутского Военного Генерал-Губернатору ПРАВИТЕЛЬ КАНЦЕЛЯРИИ ИРКУТСКОГО 6 ОКТ. 1901 ВОЕННОГО ГЕНЕРАЛ-ГУБЕРНАТОРА Имею честь препроводить при сем в Канцелярию Генерал-Губернатора один экземпляр статистического обзора Енисейской губернии за 1900 год. Губернатор Плец Советник *** Делопроизводитель Курылев
d6;27 сентября 1901 года;1901-09-27;3 Здесь и далее *, (***) — текст неразборчив. М. В. Д. ЕНИСЕЙСКИЙ ГУБЕРНАТОР ПО ГУБЕРНСКОМУ УПРАВЛЕНИЮ Отделение I Делопроизводство 1 Донесение 27 сентября 1901 года № 786* г. Красноярск Господину Иркутскому Военному Генерал-Губернатору ПРАВИТЕЛЬ КАНЦЕЛЯРИИ ИРКУТСКОГО 6 ОКТ. 1901 ВОЕННОГО ГЕНЕРАЛ-ГУБЕРНАТОРА Имею честь представить при сем Вашему Высокопревосходительству копию со всеподданнейшего отчета о состоянии Енисейской губернии за 1900 год. Губернатор Плец Советник Доброхотов Передать во вт. ***
d7;1900 год;1900;3 Здесь и далее *, (***) — текст неразборчив. М. В. Д. ЕНИСЕЙСКИЙ ГУБЕРНАТОР ПО ГУБЕРНСКОМУ УПРАВЛЕНИЮ Отделение I Делопроизводство 1 Донесение 27 сентября 1901 года № 786* г. Красноярск Господину Иркутскому Военному Генерал-Губернатору ПРАВИТЕЛЬ КАНЦЕЛЯРИИ ИРКУТСКОГО 6 ОКТ. 1901 ВОЕННОГО ГЕНЕРАЛ-ГУБЕРНАТОРА Имею честь представить при сем Вашему Высокопревосходительству копию со всеподданнейшего отчета о состоянии Енисейской губернии за 1900 год. Губернатор Плец Советник Доброхотов Передать во вт. ***
d8;1899 г.;1899;"4 Копия ВСЕПОДДАННЕЙШИЙ ОТЧЕТ ЕНИСЕЙСКОГО ГУБЕРНАТОРА ЕНИСЕЙСКОГО ГУБЕРНАТОРА ЗА ЗА 19001900 ГОД ГОД Население губернии, как и в предыдущие годы, увеличилось благодаря, с одной стороны, естественному приросту, с другой — приселению извне, как то ссыльных и переселенцев; в общем же население Енисейской губернии по местным данным можно считать достигшим до 640 835 мужчин и женщин. На экономической и сельскохозяйственной деятельности населения губернии, занятого преимущественно земледелием, отчетный год отразился неблагоприятно, с одной стороны, благодаря значительному недороду хлебов и трав, с другой — по случаю мобилизации войск Сибирского военного округа, когда до 9 120 запасных нижних чинов в рабочую летнюю пору были отвлечены от полевых работ, каковое обстоятельство в связи с уменьшением, как последствием мобилизации, заработков среди рабочего населения, призванного из запаса на действительную службу, имело влияние и на уменьшение поступления окладных сборов. Хотя в минувшем году площадь посева для хлебов озимых, яровых и для картофеля была увеличена против 1899 г., однако хлеба собрано было менее, чем в 1899 г.: озимого на 93 739 пудов и ярового на 1 480 793 пуда, а с одной десятины собрано в сложности лишь 36 пудов разного хлеба; картофеля же собрано как с отдельной десятины, так и со всего пространства несколько более, чем в 1899 г., а именно — на 43 253 пуда. Таким образом, урожай всех хлебов в отчетном году оказался в общем ниже среднего, а урожай картофеля — выше среднего; тем не менее в принятии каких-либо чрезвычайных мер для продовольствия населения губернии надобности не представилось, и недостатка в хлебе не оказалось ввиду"
d9;1899 г.;1899;"4 Копия ВСЕПОДДАННЕЙШИЙ ОТЧЕТ ЕНИСЕЙСКОГО ГУБЕРНАТОРА ЕНИСЕЙСКОГО ГУБЕРНАТОРА ЗА ЗА 19001900 ГОД ГОД Население губернии, как и в предыдущие годы, увеличилось благодаря, с одной стороны, естественному приросту, с другой — приселению извне, как то ссыльных и переселенцев; в общем же население Енисейской губернии по местным данным можно считать достигшим до 640 835 мужчин и женщин. На экономической и сельскохозяйственной деятельности населения губернии, занятого преимущественно земледелием, отчетный год отразился неблагоприятно, с одной стороны, благодаря значительному недороду хлебов и трав, с другой — по случаю мобилизации войск Сибирского военного округа, когда до 9 120 запасных нижних чинов в рабочую летнюю пору были отвлечены от полевых работ, каковое обстоятельство в связи с уменьшением, как последствием мобилизации, заработков среди рабочего населения, призванного из запаса на действительную службу, имело влияние и на уменьшение поступления окладных сборов. Хотя в минувшем году площадь посева для хлебов озимых, яровых и для картофеля была увеличена против 1899 г., однако хлеба собрано было менее, чем в 1899 г.: озимого на 93 739 пудов и ярового на 1 480 793 пуда, а с одной десятины собрано в сложности лишь 36 пудов разного хлеба; картофеля же собрано как с отдельной десятины, так и со всего пространства несколько более, чем в 1899 г., а именно — на 43 253 пуда. Таким образом, урожай всех хлебов в отчетном году оказался в общем ниже среднего, а урожай картофеля — выше среднего; тем не менее в принятии каких-либо чрезвычайных мер для продовольствия населения губернии надобности не представилось, и недостатка в хлебе не оказалось ввиду"
