Моложе 21 М.П.,Моложе 21 Ж.П.,21-25 М.П.,21-25 Ж.П.,26-30 М.П.,26-30 Ж.П.,31-35 М.П.,31-35 Ж.П.,36-40 М.П.,36-40 Ж.П.,41-45 М.П.,41-45 Ж.П.,46-50 М.П.,46-50 Ж.П.,51 и выше М.П.,51 и выше Ж.П.
738,1245,604,386,254,52,62,29,38,12,22,11,12,3,10,2
398,760,389,205,177,49,39,25,24,16,16,7,22,9,12,6
1,3,2,2,1,—,1,—,—,—,—,—,—,—,—,—
91,186,92,49,52,21,15,4,8,4,10,5,1,2,3,1
109,244,129,92,77,29,28,7,19,6,11,6,12,3,2,—
54,96,45,44,35,22,15,7,8,2,7,4,5,1,2,1
67,146,92,76,52,28,24,4,18,4,4,3,3,—,1,—
10,29,22,18,9,3,8,1,5,3,—,1,—,1,2,—
29,54,39,28,17,13,11,3,5,4,1,1,4,1,1,—
135,271,141,84,60,20,29,12,18,5,6,5,7,1,7,2
174,347,181,112,77,24,37,10,17,11,18,4,2,2,5,1
1,12,8,3,6,1,1,—,—,—,—,—,—,—,—,—
1807,3393,1744,1099,817,262,270,102,160,67,95,47,68,23,45,13
