Сословие,Города мужчины,Города женщины,Уезды мужчины,Уезды женщины
Дворяне потомственные,385,263,206,187
Дворяне личные,1023,925,125,122
Духовенство монашествующее,54,52,36,119
Духовенство белое,99,0,321,0
Церковнослужители и семейства,4,0,5,0
Воспитанники духовного училища,89,88,445,795
Почетные граждане потомственные,248,75,10,7
Почетные граждане личные,120,95,63,61
Купцы,237,212,45,43
Мещане,516,495,100,92
Крестьяне,17289,9541,3083,2373
Военные регулярных войск,7865,7082,218408,213536
Военные иррегулярных войск,1804,0,39,0
Военные в продолжительном отпуске,204,0,1619,0
Военные в запасе армии,1,0,28,0
Отставные нижние чины и их семейства,4432,0,9137,0
Нижние чины на казенном содержании,537,846,4719,9584
Разночинцы,18,0,26,0
