Название АПТЕК,Число рецептов и повторений,Средняя стоимость рецепта руб.,Средняя стоимость рецепта коп.,Выручка по рецептам руб.,Выручка по рецептам коп.,Выручка по ручной продаже руб.,Выручка по ручной продаже коп.,Общий годовой оборот аптек руб.,Общий годовой оборот аптек коп.
В Красноярске,,,,,,,,,
1) Смирновой и Зейдель,12933,—,"60,7",7861,18,6601,67,14462,78
2) Общ. врач. Ен. губ.,21000,—,"57,8",12207,77,13167,69,25375,46
Енисейская,10169,—,"52,0",5276,78,1960,60,7237,38
Ачинская,3083,—,"61,1",1885,90,8430,56,10316,46
Минусинская,4670,—,"48,0",2240,32,5161,15,7401,47
Канская сельская,5206,—,"55,0",2865,92,863,94,3729,86
Абаканская,449,—,"55,8",251,—,1247,—,1498,—
Рыбинская,624,—,"48,1",310,—,1998,60,2308,60
Балахтинская,7,—,"46,0",3,23,488,55,491,78
Итого,58141,—,5467,32902,3,39919,76,72821,79
