НАЗВАНИЕ УЧАСТКА и волостей,На какое число душ м. п. участок образован,До 1900 г. Семей,До 1900 г. Душ Мужского,До 1900 г. Душ Женского,Число водворен Прибывших Всего,Число водворен Прибывших С разрешения,Число водворен Прибывших Самовольно,Черниговской,Рязанской,Тамбовской,Пензенской,Саратовской,Псковской,Орловской,Курской,Виленской,Минской,Могилевской,Витебской,Казанской,Енисейской
По 1-му участку волости:,,,,,,,,,,,,,,,,,,,,
Большеулуйская,3645,390,1200,1131,52,49,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Покровская,3216,576,1849,1666,27,25,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
В селениях крестьян-старожилов,-,5,7,12,13,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Итого,-,971,3056,2809,92,87,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
По 2-му участку волости:,,,,,,,,,,,,,,,,,,,,
Березовская,2038,497,1581,1431,34,30,4,2,2,2,-,-,-,-,-,-,-,-,-,-,-
В селениях крестьян-старожилов,-,106,349,306,85,84,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Назаровская,3261,615,2285,2021,25,24,1,-,-,1,-,-,-,7,5,-,3,-,1,-,-
В селениях крестьян-старожилов,-,101,287,254,11,11,-,-,-,-,-,2,-,-,-,-,4,-,-,-,-
Подсовенская,577,107,404,374,15,14,1,-,-,-,-,-,-,-,-,2,12,-,1,-,-
Итого,-,1426,4906,4386,170,163,7,2,-,-,-,-,-,-,-,-,-,-,-,-,-
По 3-му участку волости:,,,,,,,,,,,,,,,,,,,,
Ужурская,2741,436,1566,1372,208,200,8,-,-,-,1,-,4,21,107,-,18,12,-,-,-
В селениях крестьян-старожилов,-,15,51,47,52,51,1,5,-,-,-,-,42,-,-,-,-,-,-,-,-
Шарыповская,1165,339,1166,872,37,33,4,-,-,3,-,-,-,-,32,-,-,-,1,-,-
В селениях крестьян-старожилов,-,55,202,200,40,28,12,-,-,1,-,6,-,-,-,-,-,-,-,-,-
Итого,-,845,2985,2491,337,312,25,5,-,4,1,6,46,21,139,-,18,12,1,-,-
По 4-му участку волости:,,,,,,,,,,,,,,,,,,,,
Балахтинская,807,111,399,348,19,19,-,-,-,-,-,-,-,-,12,-,-,2,-,-
Тюльковская,1339,251,795,741,28,28,-,3,1,11,1,-,-,5,-,-,-,1,3,-,-
Даурская,948,83,296,277,26,26,-,-,-,-,-,-,4,2,-,5,-,12,2,-,-
В селениях крестьян-старожилов,-,6,15,16,12,12,-,7,-,1,-,-,-,-,3,-,-,-,1,-,-
Итого,-,451,1505,1382,85,85,-,10,1,12,1,-,4,7,3,17,-,13,8,-,-
Всего по уездам,-,3693,12452,11068,684,647,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-
